Location_Latitude,Location_Longitude,input_location,new_id
37.784732,-122.412016,"37.7849982, -122.4111794",81.0
37.784696,-122.412007,"37.7851996, -122.4106265",82.0
37.784721,-122.412022,"37.6421761, -122.3911768",83.0
37.784719,-122.412025,"37.7851996, -122.4106265",84.0
37.784695,-122.411999,"37.7873739, -122.4133107",85.0
37.784772,-122.412021,"37.7841283, -122.4178115",86.0
37.78473,-122.412024,"1-99 San Antonio Pl, San Francisco, CA 94133",87.0
37.78473,-122.412013,"37.7851996, -122.4106265",88.0
37.784725,-122.412028,"532-598 Franklin St, San Francisco, CA 94102",89.0
37.784728,-122.412043,"37.7851996, -122.4106265",90.0
37.784707,-122.412031,"37.7851996, -122.4106265",91.0
37.784734,-122.41203,"37.7851996, -122.4106265",92.0
37.965647,-122.320873,El sobrante,93.0
37.965673,-122.320857,Elsobrante,94.0
37.965853,-122.320847,SanPablo dam rd.,95.0
37.965673,-122.320963,El sob,96.0
37.96563,-122.32089,Elbsob,97.0
37.965665,-122.320882,El sob,98.0
37.965808,-122.320913,Elsob,99.0
37.948727,-122.369167,North richmond,100.0
37.948815,-122.36918,North richmond,101.0
37.94877,-122.369243,North richmond,102.0
37.931892,-122.359778,,103.0
,,,104.0
,,,105.0
37.965673,-122.320787,Goodrich ave,106.0
37.965738,-122.320998,San pablo damn rd,107.0
37.7847,-122.412022,"37.7849905, -122.4117785",108.0
37.784703,-122.412012,"37.7849905, -122.4117785",109.0
37.784908,-122.412193,"37.7849905, -122.4117785",110.0
37.784727,-122.412025,"37.7540078, -122.4156325",111.0
37.784735,-122.412029,"37.7843617, -122.4109387",112.0
37.784704,-122.412034,"37.7843617, -122.4109387",113.0
37.784726,-122.412027,"37.7844018, -122.4171198",114.0
37.784723,-122.412024,"37.7844018, -122.4171198",115.0
,,Mcbryde,116.0
,,Mcbryde,117.0
37.952935,-122.338073,SanPablo,118.0
37.952928,-122.33803,,119.0
37.952952,-122.338018,Behind casino,120.0
37.952907,-122.33802,Behimd casino,121.0
37.952912,-122.338022,,122.0
37.931855,-122.359938,Richmond,123.0
37.935582,-122.360427,Richmond,124.0
37.935627,-122.360445,Richmond,125.0
37.935563,-122.360453,Richmond,126.0
37.931898,-122.359793,Richmond,127.0
37.931898,-122.359827,No,128.0
37.931977,-122.359812,Richmond,129.0
37.784398,-122.410793,"37.7847401, -122.4110302",130.0
37.784442,-122.41092,"37.7847401, -122.4110302",131.0
37.785175,-122.412152,"37.7848917, -122.4124316",132.0
37.785175,-122.411962,"37.7848917, -122.4124316",133.0
37.785113,-122.41219,"37.7848917, -122.4124316",134.0
37.785182,-122.41206,"37.7848917, -122.4124316",135.0
37.785175,-122.412068,"37.7848917, -122.4124316",136.0
37.785202,-122.412065,"37.7849913, -122.4123177",137.0
37.784888,-122.412275,"37.7849913, -122.4123177",138.0
37.784978,-122.412083,"37.7849913, -122.4123177",139.0
37.78507,-122.412228,"37.7849913, -122.4123177",140.0
37.821692,-122.291183,"37.8215953, -122.2910332",141.0
37.822163,-122.291425,,142.0
37.821977,-122.291573,,143.0
37.821893,-122.291377,"37.8183236, -122.2932829",144.0
37.821708,-122.29122,"37.8214774, -122.2916773",145.0
37.821705,-122.29122,"  Oakland, CA",146.0
37.821507,-122.29112,"Oakland, CA",147.0
37.821687,-122.291237,"Oakland, CA",148.0
37.82167,-122.291207,"37.8210963, -122.2914761",149.0
,,"37.8210963, -122.2914761",150.0
37.821687,-122.291237,"37.8210963, -122.2914761",151.0
,,"37.8210963, -122.2914761",152.0
,,No,153.0
,,,154.0
,,,155.0
37.954728,-122.363028,,156.0
37.926857,-122.367848,Yea,157.0
37.954677,-122.363182,,158.0
37.95482,-122.36417,North richmond,159.0
37.972433,-122.342548,Sanpabl0,160.0
37.972408,-122.342535,,161.0
37.785757,-122.416252,"37.7845130, -122.4176435",162.0
37.78547,-122.41648,"37.7834333, -122.4174135",163.0
37.785425,-122.416473,"37.7834333, -122.4174135",164.0
37.785312,-122.416483,"37.7834333, -122.4174135",165.0
37.785333,-122.416503,"37.7834333, -122.4174135",166.0
37.784997,-122.416272,"37.7826044, -122.4173921",167.0
37.784998,-122.416017,"37.7826044, -122.4173921",168.0
37.78438,-122.416352,"37.7826044, -122.4173921",169.0
37.784058,-122.415942,"37.7821868, -122.4172466",170.0
37.78411,-122.41584,"37.7821868, -122.4172466",171.0
37.783992,-122.415853,"37.7820442, -122.4172194",172.0
37.781487,-122.416998,"37.7813786, -122.4175456",173.0
37.781933,-122.413892,"37.7817591, -122.4144185",174.0
37.781915,-122.414025,"37.7817591, -122.4144185",175.0
37.781998,-122.414098,"37.7880300, -122.4023134",176.0
37.78187,-122.41375,"37.7814573, -122.4152460",177.0
37.781957,-122.413928,"37.7814573, -122.4152460",178.0
37.781933,-122.413805,"37.7814573, -122.4152460",179.0
37.781933,-122.413928,"37.7814573, -122.4152460",180.0
37.781932,-122.413908,"37.7815262, -122.4107211",181.0
37.782002,-122.41264,"37.7820032, -122.4115894",182.0
37.782247,-122.414113,"37.7826653, -122.4138650",183.0
37.78169,-122.412128,"37.7814067, -122.4120270",184.0
37.780345,-122.413787,"37.7812895, -122.4113806",185.0
37.782023,-122.413917,"37.7818733, -122.4132477",186.0
37.782047,-122.41384,"37.7768085, -122.4151186",187.0
37.782023,-122.41386,"37.7816902, -122.4146753",188.0
37.781978,-122.413863,"37.7760426, -122.4145301",189.0
37.781998,-122.41386,"37.7818349, -122.4143588",190.0
37.782,-122.413822,"37.7818349, -122.4143588",191.0
37.781842,-122.413963,"37.7818349, -122.4143588",192.0
37.923318,-122.362052,Meeker ave,193.0
37.924367,-122.362108,Meeker,194.0
37.92433,-122.362127,,195.0
37.931268,-122.364827,,196.0
37.931333,-122.362537,8thstreet,197.0
37.934915,-122.361677,,198.0
37.934918,-122.361713,,199.0
37.934958,-122.361693,,200.0
37.934913,-122.361703,,201.0
37.93491,-122.361712,,202.0
37.944342,-122.349562,23rdst,203.0
37.94425,-122.349597,23st,204.0
37.944235,-122.349667,23st,205.0
37.784702,-122.412014,"1599-1555 Yosemite Ave, San Francisco, CA 94124",206.0
37.784709,-122.412014,Ellis,207.0
37.78456,-122.411772,"1975 4th St, San Francisco, CA 94158",208.0
37.784702,-122.412018,"111 Fairmount Ave, Oakland, CA 94611",209.0
37.784745,-122.412051,   357 Ellis Street,210.0
37.784708,-122.412018,"500 5th St, San Francisco, CA 94107",211.0
37.784717,-122.412029,"610 Leavenworth St, San Francisco, CA 94109",212.0
37.784708,-122.412009,"37.7851996, -122.4106265",213.0
37.784703,-122.412027,711 post streer san francisco,214.0
37.78469,-122.412008,"37.7851996, -122.4106265",215.0
37.972407,-122.342767,"23rd & visalia richmond, ca",216.0
37.972438,-122.342478,Rodeway,217.0
37.955482,-122.335647,,218.0
37.944495,-122.349843,20 gaynor,219.0
37.94425,-122.349627,,220.0
37.94418,-122.349658,20 gaynor,221.0
37.946885,-122.348273,23rd,222.0
37.946578,-122.347577,Cutting,223.0
37.934918,-122.361827,8th street,224.0
37.934913,-122.361718,,225.0
37.785118,-122.411525,3415 west st in oakland ca,226.0
37.784917,-122.412075,"357 Ellis St, San Francisco, CA 94102",227.0
37.784712,-122.412019,901 mission streetsan francisco,228.0
37.784726,-122.412027,"357 Ellis St, San Francisco, CA 94102",229.0
37.784703,-122.412024,"357 Ellis St, San Francisco, CA 94102",230.0
37.784722,-122.412032,Bayview and Ceasar Chavez in San Francisco,231.0
37.784699,-122.412029,"99-35 San Bruno Ave, San Francisco, CA 94103",232.0
37.784732,-122.412026,600 25th st san francisco ca,233.0
37.821417,-122.287117,"37.8217388, -122.2877575",234.0
37.822253,-122.287508," 37.8217388, -122.2877575",235.0
37.822253,-122.287558,"37.8217388, -122.2877575",236.0
37.822295,-122.287445,"37.8217388, -122.2877575",237.0
37.822627,-122.287628,"37.8217388, -122.2877575",238.0
37.818963,-122.276567,"37.8200346, -122.2765402",239.0
37.823237,-122.266312,"37.8188962, -122.2760618",240.0
37.823438,-122.266142,"37.8188962, -122.2760618",241.0
37.823975,-122.265943,"37.8188962, -122.2760618",242.0
,,"37.8188962, -122.2760618",243.0
,,"37.8188962, -122.2760618",244.0
37.817458,-122.271385,"37.8188962, -122.2760618",245.0
37.817393,-122.271467,"37.8173068, -122.2715614",246.0
37.817368,-122.271435,"37.8173068, -122.2715614",247.0
37.817038,-122.27195,"37.8173068, -122.2715614",248.0
37.816962,-122.271982,"37.8173068, -122.2715614",249.0
37.817003,-122.272257,"37.8173068, -122.2715614",250.0
37.818918,-122.276558,No,251.0
,,"37.8233181, -122.2649564",252.0
,,"37.8233181, -122.2649564",253.0
,,"37.8233181, -122.2649564",254.0
,,"37.8233181, -122.2649564",255.0
,,"37.8233181, -122.2649564",256.0
,,"37.8233181, -122.2649564",257.0
,,"37.8233181, -122.2649564",258.0
,,"37.8233181, -122.2649564",259.0
,,"37.8233181, -122.2649564",260.0
,,"37.8164932, -122.2719355",261.0
,,"37.8164932, -122.2719355",262.0
,,"37.8164932, -122.2719355",263.0
37.963367,-122.345927,No,264.0
37.934868,-122.361647,,265.0
37.934918,-122.361648,23rd st,266.0
37.934893,-122.361667,,267.0
37.934887,-122.361685,8th nevin,268.0
37.934937,-122.361778,,269.0
37.93492,-122.361703,Nevin,270.0
37.934892,-122.361717,Nevin,271.0
37.934875,-122.361678,Richmond,272.0
,,Hoffman,273.0
37.922093,-122.342147,Hoffman,274.0
37.922022,-122.342198,Hoffman,275.0
37.921928,-122.341772,Hoffman,276.0
37.927733,-122.369712,Main,277.0
37.944207,-122.349653,Gaynor,278.0
37.94427,-122.349642,Gaynor,279.0
37.944182,-122.349608,Richmond,280.0
37.944235,-122.349653,Richmond,281.0
37.93196,-122.359808,Harbour way,282.0
37.93194,-122.359815,Richmond,283.0
,,"37.8271605, -122.2792898",284.0
37.827282,-122.279272,"37.8271605, -122.2792898",285.0
37.792767,-122.263738,"37.7931168, -122.2640616",286.0
,,"37.7931168, -122.2640616",287.0
,,"37.7931168, -122.2640616",288.0
37.792722,-122.263742,"37.7931168, -122.2640616",289.0
37.792767,-122.263737,"37.7931168, -122.2640616",290.0
37.792742,-122.263727,"37.7931168, -122.2640616",291.0
,,"37.7931168, -122.2640616",292.0
,,"37.7931168, -122.2640616",293.0
,,"37.7931168, -122.2640616",294.0
37.792635,-122.263382,"37.7931168, -122.2640616",295.0
37.792632,-122.263383,"37.7931168, -122.2640616",296.0
,,"37.7931168, -122.2640616",297.0
37.792633,-122.263393,"37.7931168, -122.2640616",298.0
,,"37.7931168, -122.2640616",299.0
,,5951 College Ave,300.0
37.84781,-122.252398,"5468 locksley ave oakland, ca 94618",301.0
37.847883,-122.252367,1610 san pablo ave berkeley ca,302.0
37.847833,-122.252418,5418 miles ave oakland ca 94618,303.0
37.848683,-122.245603,Behind 493 Forest street oakland ca 94618,304.0
37.848777,-122.245037,Behind 493 forest st oakland ca 94618,305.0
37.792567,-122.263367,"37.7930763, -122.2638678",306.0
37.792582,-122.26339,"37.7930763, -122.2638678",307.0
37.792655,-122.263415,"37.7930763, -122.2638678",308.0
37.792587,-122.263398,"37.7930763, -122.2638678",309.0
37.792567,-122.263422,"37.7930763, -122.2638678",310.0
37.792548,-122.263432,"37.7930763, -122.2638678",311.0
37.79259,-122.263428,"37.7930763, -122.2638678",312.0
37.855287,-122.293178,"37.8554183, -122.2924001",313.0
37.85527,-122.292993,"37.8554183, -122.2924001",314.0
37.855247,-122.292977,"37.8554183, -122.2924001",315.0
37.855243,-122.293013,"37.8554183, -122.2924001",316.0
37.855228,-122.293038,"37.8554183, -122.2924001",317.0
37.855132,-122.293588,"37.8554183, -122.2924001",318.0
37.855183,-122.293413,"37.8554183, -122.2924001",319.0
37.803687,-122.293742,"37.8035541, -122.2932561",320.0
37.803847,-122.293832,"37.8035541, -122.2932561",321.0
37.803825,-122.29386,"37.8035541, -122.2932561",322.0
37.80379,-122.293817," 37.8035541, -122.2932561",323.0
37.803803,-122.29383,"37.8035541, -122.2932561",324.0
37.803428,-122.292418,"37.8035541, -122.2932561",325.0
37.803667,-122.291943,"37.8035541, -122.2932561",326.0
37.8037,-122.29196,"37.8035541, -122.2932561",327.0
37.810405,-122.291382,"37.8035541, -122.2932561",328.0
37.809757,-122.291568,"37.8096407, -122.2917255",329.0
37.820282,-122.288678,"37.8201355, -122.2887764",330.0
37.820567,-122.286712,"37.8203823, -122.2869643",331.0
37.820973,-122.270942,"37.8203794, -122.2870273",332.0
37.821175,-122.271037,"37.8203794, -122.2870273",333.0
37.96354,-122.359102,Richmond,334.0
37.963408,-122.359002,El yonque,335.0
37.96341,-122.359048,Piquenpul,336.0
37.954972,-122.364167,North richmond,337.0
37.934893,-122.361733,Nevin,338.0
37.934828,-122.361718,Nevin,339.0
37.847838,-122.252383,Jefferson and 14th in oakland ca,340.0
37.8479,-122.252427,"Oxford and Frank Schlessinger Way Berkeley, CA",341.0
37.847793,-122.252328,2218 acton street berkeley behimd house,342.0
37.847878,-122.252332,38th ave and west street oakland,343.0
37.933033,-122.346587,Richmond,344.0
37.931898,-122.359797,Harbour way,345.0
37.820567,-122.290283,"37.8203476, -122.2907231",346.0
,,"37.8203476, -122.2907231",347.0
37.819942,-122.290718,"37.8203476, -122.2907231",348.0
,,"37.8203476, -122.2907231",349.0
,,"37.8203476, -122.2907231",350.0
,,"37.8203476, -122.2907231",351.0
,,"37.8203476, -122.2907231",352.0
,,"37.8203476, -122.2907231",353.0
,,"37.8203476, -122.2907231",354.0
37.820865,-122.289757,"37.8203476, -122.2907231",355.0
,,"37.8203476, -122.2907231",356.0
37.820907,-122.28974,"37.8203476, -122.2907231",357.0
,,"37.8203476, -122.2907231",358.0
37.911415,-122.318537,,359.0
37.933483,-122.332812,Hensley,360.0
37.933437,-122.332738,Macdonald,361.0
37.933457,-122.332743,,362.0
37.933482,-122.332752,Na,363.0
37.933568,-122.332823,Macdonald,364.0
37.933485,-122.332758,Macdonald,365.0
37.972318,-122.342888,"37.9723467, -122.3435076",366.0
37.972303,-122.342977,,367.0
37.931917,-122.35971,,368.0
,,,369.0
,,Bay area rescue mission,370.0
37.931935,-122.359728,,371.0
,,,372.0
37.962288,-122.346225,23rd,373.0
37.962285,-122.346205,Rich/pablo,374.0
37.955557,-122.34376,Richmond,375.0
37.955598,-122.343763,Richmond,376.0
37.955642,-122.343683,Market,377.0
37.944295,-122.349627,Richmond,378.0
37.944292,-122.34962,Richmond,379.0
37.944252,-122.349652,Richmond,380.0
37.944235,-122.349677,Richmond,381.0
37.944253,-122.349642,Richmond,382.0
37.792833,-122.263847,"37.7922367, -122.2629220",383.0
37.848035,-122.252233,"37.8472546, -122.2524194",384.0
37.847987,-122.252323,"37.8472546, -122.2524194",385.0
37.847972,-122.252302,"37.8472546, -122.2524194",386.0
37.847945,-122.252268,"37.8472546, -122.2524194",387.0
37.848015,-122.25226,"37.8472546, -122.2524194",388.0
37.847945,-122.252248,5937 college ave oakland ca,389.0
37.848063,-122.252197,Martin luther king and university ave in berkeley,390.0
37.84814,-122.252317,San pablo and west stréet in oakland,391.0
37.848035,-122.252227,Ashby and sacramento berkeley,392.0
37.848077,-122.252272,Ridgeway and gilbert in oakland,393.0
37.848837,-122.245062,344 40th street oakland,394.0
37.881643,-122.299455,"37.8813458, -122.2999153",395.0
37.881632,-122.299447,"37.8813458, -122.2999153",396.0
37.881618,-122.299548,"37.8813458, -122.2999153",397.0
37.881572,-122.300372,"37.8813458, -122.2999153",398.0
37.881458,-122.300382,"37.8813458, -122.2999153",399.0
37.881527,-122.300388,"37.8813458, -122.2999153",400.0
37.881433,-122.300482,"37.8813458, -122.2999153",401.0
37.88142,-122.300507,"37.8813458, -122.2999153",402.0
37.881412,-122.300567,"37.8813458, -122.2999153",403.0
37.881365,-122.300443,"37.8813458, -122.2999153",404.0
37.792773,-122.263805,"I parked here near 37°47'33.9""N 122°15'49.8""W http://maps.google.com/maps?q=Parking+location@37.792752,-122.263830&g_st=ac",405.0
37.881735,-122.299812,"37.8820079, -122.2998325",406.0
37.881815,-122.299833,"37.8816173, -122.2998523",407.0
37.881767,-122.299787,"37.8816173, -122.2998523",408.0
,,"37.8816173, -122.2998523",409.0
,,"37.8816173, -122.2998523",410.0
,,"37.8816173, -122.2998523",411.0
37.872347,-122.299603,"37.8722854, -122.2994382",412.0
37.87233,-122.299593,"37.8722854, -122.2994382",413.0
,,"37.8722854, -122.2994382",414.0
37.872283,-122.299817,"37.8715918, -122.3027772",415.0
,,"37.8715918, -122.3027772",416.0
,,"37.8715918, -122.3027772",417.0
37.871522,-122.302897,"37.8715918, -122.3027772",418.0
37.860012,-122.295395,"37.8599692, -122.2950692",419.0
37.859988,-122.295327,"37.8599692, -122.2950692",420.0
37.859967,-122.295313,"37.8599692, -122.2950692",421.0
37.859898,-122.295413,"37.8599692, -122.2950692",422.0
,,"37.7964013, -122.2569319",423.0
37.78717,-122.254623,"37.8209589, -122.2919415",424.0
37.787913,-122.254467,"37.7965968, -122.2568588",425.0
,,"37.7805187, -122.2371355",426.0
,,"37.7716680, -122.2159085",427.0
,,"37.8236947, -122.2902996",428.0
37.788423,-122.254723,"37.8139065, -122.2735482",429.0
37.972363,-122.342692,Richm9nd,430.0
37.925153,-122.360482,Richmond,431.0
37.923065,-122.346202,Richmond,432.0
37.97248,-122.342527,Sam pablo,433.0
37.784282,-122.296503,"37.7838797, -122.2966206",434.0
37.784277,-122.296402,"37.7838797, -122.2966206",435.0
37.784065,-122.296343,"37.7838797, -122.2966206",436.0
37.791402,-122.259437,"37.7912039, -122.2593855",437.0
,,"37.7912039, -122.2593855",438.0
,,"37.7912039, -122.2593855",439.0
,,"37.7912039, -122.2593855",440.0
37.791335,-122.259407,"37.8236467, -122.2725544",441.0
37.791312,-122.259445,"37.8236467, -122.2725544",442.0
37.79131,-122.259438,"37.8236467, -122.2725544",443.0
,,"37.8236467, -122.2725544",444.0
37.847903,-122.252287,"Claremont, South Berkeley, CA",445.0
,,"San pablo and west st, West oakland, ca",446.0
37.859923,-122.295505,"37.8596277, -122.2960208",447.0
37.86255,-122.298203,"37.8596277, -122.2960208",448.0
,,"37.8596277, -122.2960208",449.0
37.859815,-122.295517,"37.8599904, -122.2948386",450.0
37.86299,-122.298568,"37.8600939, -122.2946545",451.0
37.86237,-122.298175,"37.8640786, -122.3126018",452.0
37.97241,-122.342493,,453.0
37.972458,-122.342517,San pablo,454.0
37.972477,-122.3425,San pablo,455.0
37.972433,-122.342578,Sanpablo,456.0
37.97241,-122.342567,Sanpablo,457.0
37.947585,-122.355968,Rivhmond,458.0
37.947537,-122.355967,Richmond,459.0
37.947557,-122.355987,Richmond,460.0
37.947562,-122.355965,Richmonf,461.0
37.881502,-122.298618,"37.8819436, -122.2985759",462.0
,,"37.8204708, -122.2911811",463.0
37.94425,-122.349637,Richmond,464.0
37.944235,-122.34969,,465.0
37.972383,-122.342505,Sanpablo,466.0
37.97239,-122.342467,,467.0
37.972408,-122.342527,Sanpanlo,468.0
37.972478,-122.342523,San pablo,469.0
37.94428,-122.349733,Richmond,470.0
37.944297,-122.349602,Richmond,471.0
37.93491,-122.361867,Richmond,472.0
37.934865,-122.361717,,473.0
37.934893,-122.361722,Richmond,474.0
37.881052,-122.298457,"37.8807110, -122.2983412",475.0
37.813722,-122.273587,"37.8136170, -122.2730456",476.0
37.813645,-122.273425,"37.8136170, -122.2730456",477.0
37.813672,-122.273488,"37.8136170, -122.2730456",478.0
37.813748,-122.273782,"   37.8136170, -122.2730456",479.0
37.813733,-122.273762,"37.8136170, -122.2730456",480.0
37.847923,-122.252058,College ave and hastein berkeley,481.0
37.847857,-122.252423,El cerrito on san pablo ans solano,482.0
37.847948,-122.252383,San francisco and univeristy ave berkeley ca,483.0
37.847897,-122.25244,Channing and dana in berkeley,484.0
37.847858,-122.25222,Sacramento and university in berkeley,485.0
37.847478,-122.252233,Ashby and adeline in berkeley,486.0
37.788121,-122.254544,"37.8307061, -122.2902483",487.0
37.788139,-122.254564,"37.8307061, -122.2902483",488.0
37.813808,-122.273755," 37.8140042, -122.2743033",489.0
37.813853,-122.273775,"37.8140042, -122.2743033",490.0
37.81388,-122.273807,"37.8140042, -122.2743033",491.0
37.813897,-122.273762,"37.8140042, -122.2743033",492.0
37.813857,-122.273773,"37.8140042, -122.2743033",493.0
37.813828,-122.273833,"37.8140042, -122.2743033",494.0
37.81388,-122.273845,"37.8140042, -122.2743033",495.0
37.753372,-122.177322,"37.7536062, -122.1775124",496.0
37.753458,-122.177407,"37.7536062, -122.1775124",497.0
37.753345,-122.177403,"37.7536062, -122.1775124",498.0
37.753432,-122.177492,"37.7536682, -122.1767956",499.0
37.753392,-122.177355,"37.7536062, -122.1775124",500.0
,,"37.7536682, -122.1767956",501.0
,,"37.7536682, -122.1767956",502.0
37.7534,-122.177433,"37.7536062, -122.1775124",503.0
37.753412,-122.177472,"37.7536682, -122.1767956",504.0
37.753415,-122.177388,"37.7536062, -122.1775124",505.0
,,"37.7536682, -122.1767956",506.0
37.753458,-122.17746,"37.7536062, -122.1775124",507.0
,,"37.7536682, -122.1767956",508.0
37.753415,-122.177447,"37.7536062, -122.1775124",509.0
,,"37.7536682, -122.1767956",510.0
37.753368,-122.177482,"37.7536062, -122.1775124",511.0
37.75348,-122.177463,"37.7536062, -122.1775124",512.0
37.753445,-122.177402,"37.7536062, -122.1775124",513.0
37.753457,-122.177425,"37.7536062, -122.1775124",514.0
37.813853,-122.274535,"37.8147530, -122.2746291",515.0
37.813632,-122.274417,"37.8147530, -122.2746291",516.0
37.813633,-122.274447,"37.8147530, -122.2746291",517.0
37.813273,-122.274392,"37.8147530, -122.2746291",518.0
37.812978,-122.274247,"37.8147530, -122.2746291",519.0
37.813075,-122.274278,"37.8147530, -122.2746291",520.0
37.812983,-122.274212,"37.8147530, -122.2746291",521.0
37.813358,-122.274562,"37.8130200, -122.2742147",522.0
37.850412,-122.252433,San francisco divisadero and van ness streef,523.0
37.817703,-122.26288,29th and broadway in oakland,524.0
37.85079,-122.25248,Across from 369 22nd street oakland,525.0
37.810583,-122.274538,"37.8104499, -122.2746627",526.0
37.810697,-122.274532,"37.8104499, -122.2746627",527.0
37.824823,-122.272102,"37.8248650, -122.2723643",528.0
37.825433,-122.272001,,529.0
37.825769,-122.272135,"37.8248650, -122.2723643",530.0
37.825185,-122.272283,"37.8248650, -122.2723643",531.0
37.810253,-122.246125,San pablo and 25th in oakland,532.0
37.81094,-122.247677,West street and 34 th in oakland,533.0
37.810858,-122.247617,484 Lake Park in oaklnd onbench,534.0
37.810363,-122.247182,3227 lakeshore aveoakland,535.0
37.847903,-122.252273,University and san pablo in berkeley,536.0
37.848108,-122.252243,568 66 th street oakland ca,537.0
37.848063,-122.252217,Sacramento and allston in berkeley,538.0
37.787587,-122.255263,"37.7903704, -122.2491978",539.0
37.800802,-122.226767,"37.8004806, -122.2268805",540.0
37.735567,-122.183483,"37.7354272, -122.1836389",541.0
,,"37.7347644, -122.1800625",542.0
37.837737,-122.264538,"37.8370904, -122.2641300",543.0
37.837655,-122.264513,"37.8370904, -122.2641300",544.0
37.817475,-122.275632,"37.8165991, -122.2751890",545.0
,,"37.8176231, -122.2771316",546.0
,,"37.8176231, -122.2771316",547.0
,,"37.8167525, -122.2751247",548.0
37.817438,-122.275682,"37.8174255, -122.2759974",549.0
37.817123,-122.27522,"37.8167308, -122.2751629",550.0
37.817475,-122.275678,"37.8174255, -122.2759974",551.0
37.817173,-122.275273,,552.0
37.817115,-122.275233,"37.8175569, -122.2758143",553.0
