new_id,Response_ID,Recorded_Date,Location_Latitude,Location_Longitude,input_location,input_category,input_lat,input_lon,distance_m,best_lat,best_lon,sweep,gender,age,race_White,race_Hispanic,race_Black,race_Asian,race_American_Indian,last_30_noshelter,_3year_noshelter,Rank___Level_of_privacy,Rank___Length_allowed_to_stay,Rank___Security_Guards,Rank___Case_Management,Rank___Close_to_transit,Rank___Proximity_to_where_you_st,Rank___Substance_Use_Policy,Rank___Participation_in_rule_mak,Rank___Curfew_Policy,Rank___Pet_Policy,Rank___Partners_Policy,Rank___How_Clean_it_is,Preferred_B1Q1,Preferred_B1Q2,Preferred_B1Q3,Preferred_B1Q4,Preferred_B2Q1,Preferred_B2Q2,Preferred_B2Q3,Preferred_B2Q4,Preferred_B3Q1,Preferred_B3Q2,Preferred_B3Q3,Preferred_B3Q4,Outside_Option_B1Q1,Outside_Option_B1Q2,Outside_Option_B1Q3,Outside_Option_B1Q4,Outside_Option_B2Q1,Outside_Option_B2Q2,Outside_Option_B2Q3,Outside_Option_B2Q4,Outside_Option_B3Q1,Outside_Option_B3Q2,Outside_Option_B3Q3,Outside_Option_B3Q4,trigger___Selected_Choice_Family,trigger___Selected_Choice_Chose_,trigger___Selected_Choice_Divorc,trigger___Selected_Choice_Could_,trigger___Selected_Choice_Rent_i,trigger___Selected_Choice_Evicti,trigger___Selected_Choice_Releas,trigger___Selected_Choice_Other_,trigger___Other__Specify____Text
11,R_3ErP9cSALsXdNON,2025-07-01 17:05:10,37.819918,-122.290792,"37.8261608, -122.2918868",coord_decimal,37.8261608,-122.2918868,700.8,37.819918,-122.290792,0.0,Male,58.0,White,,,,,,,2,5,6,1,9,11,4,7,3,12,10,8,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Hotel SRO room door was broken
12,R_kYD7yvsXPRhkFY4,2025-07-01 17:05:11,37.819943,-122.290797,"37.8261608, -122.2918868",coord_decimal,37.8261608,-122.2918868,698.0,37.819943,-122.290797,1.0,Male,45.0,White,,,,,,,1,8,12,9,11,10,3,7,2,6,5,4,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
13,R_amvvx5MQuNwZCBk,2025-07-01 17:05:12,37.819895,-122.290742,"37.7549401, -122.1961990",coord_decimal,37.7549401,-122.196199,11008.7,37.819895,-122.290742,0.0,Male,58.0,,Hispanic,Black,,,,,9,8,2,5,10,3,12,11,7,6,4,1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
14,R_8ah5RuXt12iwYQA,2025-07-02 17:17:05,37.788647,-122.402667,"37.7883069, -122.4025407",coord_decimal,37.7883069,-122.4025407,39.4,37.788647,-122.402667,0.0,Male,69.0,,,,,,,,3,5,1,4,10,11,2,7,12,9,8,6,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Could not pay rent,,,,,
15,R_eZfhfZUF7KGXmO8,2025-07-02 17:17:06,37.786835,-122.421003,"37.7866360, -122.4209084",coord_decimal,37.786636,-122.4209084,23.6,37.786835,-122.421003,1.0,Female,52.0,White,,,,,,,4,9,1,7,8,12,11,6,10,3,5,2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,,,Other (Specify),Support a friend withhealth issues
16,R_7sXqxiPWD77g8N1,2025-07-02 17:17:07,37.786768,-122.42104,"37.7866360, -122.4209084",coord_decimal,37.786636,-122.4209084,18.7,37.786768,-122.42104,1.0,Male,43.0,White,,,,,,,3,9,8,5,10,6,12,11,7,2,1,4,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,Other (Specify),Owners cameback and needed house
17,R_f6LsdHWR3vcjuNr,2025-07-02 17:17:08,37.786703,-122.421032,"37.7866360, -122.4209084",coord_decimal,37.786636,-122.4209084,13.2,37.786703,-122.421032,0.0,Male,48.0,White,,,,,,,1,8,3,4,7,9,11,5,10,12,6,2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,Eviction,,Other (Specify),Got COVID
18,R_dPR45ceD7RHiKd7,2025-07-02 17:17:08,37.785223,-122.412945,"37.7847862, -122.4126821",coord_decimal,37.7847862,-122.4126821,53.8,37.785223,-122.412945,1.0,Female,61.0,,,,,American Indian,,,3,7,1,4,9,11,8,10,2,5,12,6,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Mother passed away in hawaii
19,R_lr1YLB11aFkYvq3,2025-07-04 11:09:12,37.931937,-122.359732,"37.9305425, -122.3521225",coord_decimal,37.9305425,-122.3521225,685.2,37.931937,-122.359732,0.0,Male,41.0,,Hispanic,,,,,,6,2,3,9,8,4,5,12,7,11,10,1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,Other (Specify),Askedto leave drugs
20,R_3nwrljzwgRVeDl9,2025-07-04 12:06:54,37.9319,-122.359748,"37.9336339, -122.3534304",coord_decimal,37.9336339,-122.3534304,586.7,37.9319,-122.359748,0.0,Male,55.0,,,Black,,,No Shelter/Outside,,6,1,2,5,9,7,3,11,8,12,10,4,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
21,R_fbED9twNfeFb02D,2025-07-04 12:50:30,37.931912,-122.359728,"37.9307467, -122.3677507",coord_decimal,37.9307467,-122.3677507,715.5,37.931912,-122.359728,0.0,Male,35.0,,Hispanic,,,,,,8,10,6,1,9,5,7,11,4,12,3,2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Rent increase,,,Other (Specify),Tried to save up living in car
22,R_1TXnNadH5OOgMYF,2025-07-04 13:18:09,37.93196,-122.35978,"37.9738780, -122.5206581",coord_decimal,37.973878,-122.5206581,14855.8,37.93196,-122.35978,0.0,Male,39.0,White,,,,,,No Shelter/Outside,6,2,4,10,5,1,11,12,3,9,8,7,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),edd ran out
23,R_bJju4zfMSOz3pTJ,2025-07-04 13:43:03,37.931895,-122.359757,"37.9357324, -122.3471561",coord_decimal,37.9357324,-122.3471561,1184.6,37.931895,-122.359757,0.0,Female,50.0,,Hispanic,,,,,,1,8,2,3,5,7,6,9,10,11,12,4,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Could not pay rent,,,,Other (Specify),Health issues
24,R_bTUeP3NBCV9At06,2025-07-04 13:59:59,37.931855,-122.360123,"37.9327128, -122.3293137",coord_decimal,37.9327128,-122.3293137,2703.8,37.931855,-122.360123,0.0,Male,29.0,,Hispanic,,,,,,1,4,3,2,7,6,9,10,5,12,11,8,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Sister movedto another city
25,R_i3bQ6NXzDOnF6wD,2025-07-04 16:38:06,37.819898,-122.290757,"37.8196646, -122.2910436",coord_decimal,37.8196646,-122.2910436,36.2,37.819898,-122.290757,1.0,Male,52.0,White,,,,,,,4,6,11,12,7,10,1,9,3,2,5,8,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,Other (Specify),Fire
26,R_8nBrEZQmRRHSxxQ,2025-07-04 16:38:07,37.819918,-122.290732,"37.8196646, -122.2910436",coord_decimal,37.8196646,-122.2910436,39.3,37.819918,-122.290732,0.0,Male,34.0,,,,Asian,,,,2,6,4,3,9,7,8,10,12,1,11,5,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,Other (Specify),Girlfriend caused problems
27,R_66QmJqUsxcygU3j,2025-07-04 16:38:08,37.819918,-122.290763,"37.8196646, -122.2910436",coord_decimal,37.8196646,-122.2910436,37.4,37.819918,-122.290763,1.0,Female,53.0,White,,,,,No Shelter/Outside,,6,8,11,9,7,2,12,10,5,3,4,1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
28,R_hGEb89lZZp2ExWv,2025-07-05 12:06:19,37.931917,-122.359828,"37.9305920, -122.3596951",coord_decimal,37.930592,-122.3596951,147.8,37.931917,-122.359828,1.0,Male,66.0,,,Black,,,,,5,4,7,3,6,10,1,9,8,12,11,2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Rent increase,,,,
29,R_l4fLpMLaPlFcbHr,2025-07-05 12:24:35,37.931932,-122.359745,"37.9305920, -122.3596951",coord_decimal,37.930592,-122.3596951,149.1,37.931932,-122.359745,0.0,Female,32.0,,Hispanic,,,,,,6,4,10,9,2,1,11,5,7,12,8,3,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
30,R_mgMEF3sfsRd3uco,2025-07-05 15:06:03,37.803337,-122.276473,"37.7798398, -122.2357750",coord_decimal,37.7798398,-122.235775,4429.0,37.803337,-122.276473,0.0,Female,53.0,,,Black,,,,,1,2,4,5,8,9,7,3,10,12,11,6,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
31,R_jRHMQOxWa3TR81b,2025-07-06 14:18:31,37.933548,-122.332775,,missing,,,,37.933548,-122.332775,0.0,Female,,White,,,,,No Shelter/Outside,,1,8,4,12,2,5,7,6,10,9,11,3,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Could not pay rent,Rent increase,,,,
32,R_aRZWzAQBVoyWL2j,2025-07-06 14:18:32,37.933413,-122.332732,,missing,,,,37.933413,-122.332732,1.0,Male,39.0,White,,,,,No Shelter/Outside,No Shelter/Outside,2,10,1,9,7,4,3,6,5,11,8,12,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,,,Divorce/breakup,,,,,,
33,R_mosJMr5y89KyXiR,2025-07-06 14:18:34,37.933502,-122.332643,,missing,,,,37.933502,-122.332643,1.0,Non-Binary/Other,44.0,,Hispanic,,,,,,2,3,11,4,10,12,9,5,8,1,7,6,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Rent increase,,,,
34,R_lZ6uQX8QuMurIT2,2025-07-06 14:18:35,37.933527,-122.332758,,missing,,,,37.933527,-122.332758,0.0,Female,42.0,,Hispanic,,,,,,4,5,7,8,12,10,1,6,11,3,2,9,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,,,,,,Eviction,,,
35,R_1YMZoXshHHS8QfP,2025-07-06 14:18:36,37.933528,-122.332772,No,junk,,,,37.933528,-122.332772,0.0,Female,43.0,White,,,,,,,1,8,4,9,12,3,10,5,11,7,6,2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,Could not pay rent,Rent increase,,,,
36,R_j8p9XBtvhdfwzw9,2025-07-06 14:18:39,37.933547,-122.332742,Cuttig,area_vague,,,,37.933547,-122.332742,0.0,Female,47.0,,,Black,,,,,2,12,3,9,7,8,11,1,5,6,4,10,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Mo pastAWAY
37,R_dJL89RYnnLxULqF,2025-07-06 14:18:40,37.933548,-122.332737,,missing,,,,37.933548,-122.332737,0.0,Female,19.0,,Hispanic,,,,,,3,8,1,9,11,10,2,4,5,7,12,6,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,,,,,,Eviction,,,
38,R_42208kGWKo5HjSJ,2025-07-06 14:18:41,37.933573,-122.332783,Cutting and 23rd,area_vague,,,,37.933573,-122.332783,1.0,Female,39.0,White,,,,,,,6,5,7,8,3,4,9,11,10,1,12,2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Chose to leave due to issues with family/friend/roommate,,Could not pay rent,,,,Other (Specify),Moved in with boyfriend
39,R_ck8CDNWSu7Ho34g,2025-07-06 14:18:43,37.933573,-122.332733,Macdonald,address,37.7061919,-122.4098691,26175.7,37.933573,-122.332733,0.0,Female,58.0,White,,,,,,,7,3,10,8,5,1,11,6,9,12,2,4,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,,,,,Rent increase,,,,
40,R_juDa60ndBUuGN4i,2025-07-06 14:18:44,37.933482,-122.33277,,missing,,,,37.933482,-122.33277,0.0,Female,41.0,,Hispanic,,,,,,5,4,9,2,10,11,7,3,12,8,6,1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Chose to leave due to issues with family/friend/roommate,,,,,,,
41,R_bR27Es4uAMHEtTR,2025-07-06 18:02:21,37.822343,-122.291418,"37.8190798, -122.2905353",coord_decimal,37.8190798,-122.2905353,371.0,37.822343,-122.291418,1.0,Male,46.0,,,Black,,,,,3,8,9,2,10,12,6,7,1,5,11,4,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
42,R_4lafzLlbYvBYIQb,2025-07-06 18:02:22,37.822207,-122.291287,"37.8190798, -122.2905353",coord_decimal,37.8190798,-122.2905353,353.9,37.822207,-122.291287,1.0,Female,43.0,,,Black,,,,,1,12,4,9,7,11,8,10,2,5,6,3,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,Other (Specify), Na
