new_id,Response_ID,Recorded_Date,best_lat,best_lon,input_category,distance_m,sweep,gender,age,race_White,race_Hispanic,race_Black,last_30_noshelter,_3year_noshelter,sweeps_100m,closures_100m,sweeps_200m,closures_200m,shelter_aversion_score,top_shelter_attribute,Rank___Level_of_privacy,Rank___Length_allowed_to_stay,Rank___Security_Guards,Rank___Case_Management,Rank___Close_to_transit,Rank___Proximity_to_where_you_st,Rank___Substance_Use_Policy,Rank___Participation_in_rule_mak,Rank___Curfew_Policy,Rank___Pet_Policy,Rank___Partners_Policy,Rank___How_Clean_it_is,Preferred_B1Q1,Preferred_B1Q2,Preferred_B1Q3,Preferred_B1Q4,Preferred_B2Q1,Preferred_B2Q2,Preferred_B2Q3,Preferred_B2Q4,Preferred_B3Q1,Preferred_B3Q2,Preferred_B3Q3,Preferred_B3Q4,Outside_Option_B1Q1,Outside_Option_B1Q2,Outside_Option_B1Q3,Outside_Option_B1Q4,Outside_Option_B2Q1,Outside_Option_B2Q2,Outside_Option_B2Q3,Outside_Option_B2Q4,Outside_Option_B3Q1,Outside_Option_B3Q2,Outside_Option_B3Q3,Outside_Option_B3Q4,trigger___Selected_Choice_Family,trigger___Selected_Choice_Chose_,trigger___Selected_Choice_Divorc,trigger___Selected_Choice_Could_,trigger___Selected_Choice_Rent_i,trigger___Selected_Choice_Evicti,trigger___Selected_Choice_Releas,trigger___Selected_Choice_Other_,trigger___Other__Specify____Text
11,R_3ErP9cSALsXdNON,2025-07-01 17:05:10,37.819918,-122.290792,coord_decimal,700.8,0.0,Male,58.0,White,,,,,3,3,49,41,1.0,Case Management,2.0,5.0,6.0,1.0,9.0,11.0,4.0,7.0,3.0,12.0,10.0,8.0,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Hotel SRO room door was broken
12,R_kYD7yvsXPRhkFY4,2025-07-01 17:05:11,37.819943,-122.290797,coord_decimal,698.0,1.0,Male,45.0,White,,,,,3,3,49,41,0.75,Level of privacy,1.0,8.0,12.0,9.0,11.0,10.0,3.0,7.0,2.0,6.0,5.0,4.0,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
13,R_amvvx5MQuNwZCBk,2025-07-01 17:05:12,37.819895,-122.290742,coord_decimal,11008.7,0.0,Male,58.0,,Hispanic,Black,,,3,3,49,41,1.0,How Clean it is,9.0,8.0,2.0,5.0,10.0,3.0,12.0,11.0,7.0,6.0,4.0,1.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
14,R_8ah5RuXt12iwYQA,2025-07-02 17:17:05,37.788647,-122.402667,coord_decimal,39.4,0.0,Male,69.0,,,,,,0,0,0,0,0.8333333333333334,Security Guards,3.0,5.0,1.0,4.0,10.0,11.0,2.0,7.0,12.0,9.0,8.0,6.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Could not pay rent,,,,,
15,R_eZfhfZUF7KGXmO8,2025-07-02 17:17:06,37.786835,-122.421003,coord_decimal,23.6,1.0,Female,52.0,White,,,,,0,0,0,0,0.5833333333333334,Security Guards,4.0,9.0,1.0,7.0,8.0,12.0,11.0,6.0,10.0,3.0,5.0,2.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,,,Other (Specify),Support a friend withhealth issues
16,R_7sXqxiPWD77g8N1,2025-07-02 17:17:07,37.786768,-122.42104,coord_decimal,18.7,1.0,Male,43.0,White,,,,,0,0,0,0,0.8333333333333334,Partners Policy,3.0,9.0,8.0,5.0,10.0,6.0,12.0,11.0,7.0,2.0,1.0,4.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,Other (Specify),Owners cameback and needed house
17,R_f6LsdHWR3vcjuNr,2025-07-02 17:17:08,37.786703,-122.421032,coord_decimal,13.2,0.0,Male,48.0,White,,,,,0,0,0,0,0.9166666666666666,Level of privacy,1.0,8.0,3.0,4.0,7.0,9.0,11.0,5.0,10.0,12.0,6.0,2.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,Eviction,,Other (Specify),Got COVID
18,R_dPR45ceD7RHiKd7,2025-07-02 17:17:08,37.785223,-122.412945,coord_decimal,53.8,1.0,Female,61.0,,,,,,0,0,0,0,1.0,Security Guards,3.0,7.0,1.0,4.0,9.0,11.0,8.0,10.0,2.0,5.0,12.0,6.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Mother passed away in hawaii
19,R_lr1YLB11aFkYvq3,2025-07-04 11:09:12,37.931937,-122.359732,coord_decimal,685.2,0.0,Male,41.0,,Hispanic,,,,0,0,0,0,1.0,How Clean it is,6.0,2.0,3.0,9.0,8.0,4.0,5.0,12.0,7.0,11.0,10.0,1.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,Other (Specify),Askedto leave drugs
20,R_3nwrljzwgRVeDl9,2025-07-04 12:06:54,37.9319,-122.359748,coord_decimal,586.7,0.0,Male,55.0,,,Black,No Shelter/Outside,,0,0,0,0,1.0,Length allowed to stay,6.0,1.0,2.0,5.0,9.0,7.0,3.0,11.0,8.0,12.0,10.0,4.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
21,R_fbED9twNfeFb02D,2025-07-04 12:50:30,37.931912,-122.359728,coord_decimal,715.5,0.0,Male,35.0,,Hispanic,,,,0,0,0,0,1.0,Case Management,8.0,10.0,6.0,1.0,9.0,5.0,7.0,11.0,4.0,12.0,3.0,2.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Rent increase,,,Other (Specify),Tried to save up living in car
22,R_1TXnNadH5OOgMYF,2025-07-04 13:18:09,37.93196,-122.35978,coord_decimal,14855.8,0.0,Male,39.0,White,,,,No Shelter/Outside,0,0,0,0,1.0,Proximity to where you st,6.0,2.0,4.0,10.0,5.0,1.0,11.0,12.0,3.0,9.0,8.0,7.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),edd ran out
23,R_bJju4zfMSOz3pTJ,2025-07-04 13:43:03,37.931895,-122.359757,coord_decimal,1184.6,0.0,Female,50.0,,Hispanic,,,,0,0,0,0,1.0,Level of privacy,1.0,8.0,2.0,3.0,5.0,7.0,6.0,9.0,10.0,11.0,12.0,4.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Could not pay rent,,,,Other (Specify),Health issues
24,R_bTUeP3NBCV9At06,2025-07-04 13:59:59,37.931855,-122.360123,coord_decimal,2703.8,0.0,Male,29.0,,Hispanic,,,,0,0,0,0,1.0,Level of privacy,1.0,4.0,3.0,2.0,7.0,6.0,9.0,10.0,5.0,12.0,11.0,8.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Sister movedto another city
25,R_i3bQ6NXzDOnF6wD,2025-07-04 16:38:06,37.819898,-122.290757,coord_decimal,36.2,1.0,Male,52.0,White,,,,,3,3,49,41,0.6666666666666666,Substance Use Policy,4.0,6.0,11.0,12.0,7.0,10.0,1.0,9.0,3.0,2.0,5.0,8.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,Other (Specify),Fire
26,R_8nBrEZQmRRHSxxQ,2025-07-04 16:38:07,37.819918,-122.290732,coord_decimal,39.3,0.0,Male,34.0,,,,,,3,3,49,41,1.0,Pet Policy,2.0,6.0,4.0,3.0,9.0,7.0,8.0,10.0,12.0,1.0,11.0,5.0,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,Other (Specify),Girlfriend caused problems
27,R_66QmJqUsxcygU3j,2025-07-04 16:38:08,37.819918,-122.290763,coord_decimal,37.4,1.0,Female,53.0,White,,,No Shelter/Outside,,3,3,49,41,1.0,How Clean it is,6.0,8.0,11.0,9.0,7.0,2.0,12.0,10.0,5.0,3.0,4.0,1.0,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
28,R_hGEb89lZZp2ExWv,2025-07-05 12:06:19,37.931917,-122.359828,coord_decimal,147.8,1.0,Male,66.0,,,Black,,,0,0,0,0,0.9166666666666666,Substance Use Policy,5.0,4.0,7.0,3.0,6.0,10.0,1.0,9.0,8.0,12.0,11.0,2.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Rent increase,,,,
29,R_l4fLpMLaPlFcbHr,2025-07-05 12:24:35,37.931932,-122.359745,coord_decimal,149.1,0.0,Female,32.0,,Hispanic,,,,0,0,0,0,0.5833333333333334,Proximity to where you st,6.0,4.0,10.0,9.0,2.0,1.0,11.0,5.0,7.0,12.0,8.0,3.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
30,R_mgMEF3sfsRd3uco,2025-07-05 15:06:03,37.803337,-122.276473,coord_decimal,4429.0,0.0,Female,53.0,,,Black,,,2,1,3,2,0.75,Level of privacy,1.0,2.0,4.0,5.0,8.0,9.0,7.0,3.0,10.0,12.0,11.0,6.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
31,R_jRHMQOxWa3TR81b,2025-07-06 14:18:31,37.933548,-122.332775,missing,,0.0,Female,,White,,,No Shelter/Outside,,0,0,0,0,1.0,Level of privacy,1.0,8.0,4.0,12.0,2.0,5.0,7.0,6.0,10.0,9.0,11.0,3.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Could not pay rent,Rent increase,,,,
32,R_aRZWzAQBVoyWL2j,2025-07-06 14:18:32,37.933413,-122.332732,missing,,1.0,Male,39.0,White,,,No Shelter/Outside,No Shelter/Outside,0,0,0,0,0.5833333333333334,Security Guards,2.0,10.0,1.0,9.0,7.0,4.0,3.0,6.0,5.0,11.0,8.0,12.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,,,Divorce/breakup,,,,,,
33,R_mosJMr5y89KyXiR,2025-07-06 14:18:34,37.933502,-122.332643,missing,,1.0,Non-Binary/Other,44.0,,Hispanic,,,,0,0,0,0,1.0,Pet Policy,2.0,3.0,11.0,4.0,10.0,12.0,9.0,5.0,8.0,1.0,7.0,6.0,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Rent increase,,,,
34,R_lZ6uQX8QuMurIT2,2025-07-06 14:18:35,37.933527,-122.332758,missing,,0.0,Female,42.0,,Hispanic,,,,0,0,0,0,0.5,Substance Use Policy,4.0,5.0,7.0,8.0,12.0,10.0,1.0,6.0,11.0,3.0,2.0,9.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,,,,,,Eviction,,,
35,R_1YMZoXshHHS8QfP,2025-07-06 14:18:36,37.933528,-122.332772,junk,,0.0,Female,43.0,White,,,,,0,0,0,0,0.8333333333333334,Level of privacy,1.0,8.0,4.0,9.0,12.0,3.0,10.0,5.0,11.0,7.0,6.0,2.0,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,Could not pay rent,Rent increase,,,,
36,R_j8p9XBtvhdfwzw9,2025-07-06 14:18:39,37.933547,-122.332742,area_vague,,0.0,Female,47.0,,,Black,,,0,0,0,0,0.8333333333333334,Participation in rule mak,2.0,12.0,3.0,9.0,7.0,8.0,11.0,1.0,5.0,6.0,4.0,10.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Mo pastAWAY
37,R_dJL89RYnnLxULqF,2025-07-06 14:18:40,37.933548,-122.332737,missing,,0.0,Female,19.0,,Hispanic,,,,0,0,0,0,0.3333333333333333,Security Guards,3.0,8.0,1.0,9.0,11.0,10.0,2.0,4.0,5.0,7.0,12.0,6.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,,,,,,Eviction,,,
38,R_42208kGWKo5HjSJ,2025-07-06 14:18:41,37.933573,-122.332783,area_vague,,1.0,Female,39.0,White,,,,,0,0,0,0,0.16666666666666666,Pet Policy,6.0,5.0,7.0,8.0,3.0,4.0,9.0,11.0,10.0,1.0,12.0,2.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Chose to leave due to issues with family/friend/roommate,,Could not pay rent,,,,Other (Specify),Moved in with boyfriend
39,R_ck8CDNWSu7Ho34g,2025-07-06 14:18:43,37.933573,-122.332733,address,26175.7,0.0,Female,58.0,White,,,,,0,0,0,0,0.25,Proximity to where you st,7.0,3.0,10.0,8.0,5.0,1.0,11.0,6.0,9.0,12.0,2.0,4.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,,,,,Rent increase,,,,
40,R_juDa60ndBUuGN4i,2025-07-06 14:18:44,37.933482,-122.33277,missing,,0.0,Female,41.0,,Hispanic,,,,0,0,0,0,1.0,How Clean it is,5.0,4.0,9.0,2.0,10.0,11.0,7.0,3.0,12.0,8.0,6.0,1.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Chose to leave due to issues with family/friend/roommate,,,,,,,
