location_raw,district,sensitivity_zone,OPERATION START DATE,OPERATION END DATE,start_date,end_date,duration_days,year,month,year_month,policy_era,intervention_primary,intervention_secondary,is_mixed_intervention,not_executed,is_self_closure,with_outreach,spatial_notes,location_type,location_for_geocoding,latitude,longitude,geocode_source,intervention_raw
Robert Mason Fields/Golden Gate Playground,D1,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,named_place,"Robert Mason Fields, Oakland, CA",37.8469,-122.296,known_place_lookup,Closure
Cesar Chavez Park,D5,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,named_place,"Cesar Chavez Park, Oakland, CA",37.7968,-122.2394,known_place_lookup,Closure
San Pablo Ave between W Grand Ave & MLK,D3,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between West Grand Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
San Pablo Ave between 23rd St and W Grand Ave,D3,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between 23rd Street and West Grand Avenue, Oakland, CA",,,,Closure
23rd St. between MLK and San Pablo,D3,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",,,,Closure
W Grand Ave between San Pablo Ave & MLK,D3,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between San Pablo Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
MLk between W Grand Ave & 23rd,D3,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",,,,Closure
MLK between San Pablo Ave & W Grand Ave,D3,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between San Pablo Avenue & West Grand Avenue, Oakland, CA",,,,Closure
Median at Peralta St and 32nd St,D3,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Deep Cleaning,,False,False,False,False,,intersection,"Median at Peralta Street and 32nd Street, Oakland, CA",,,,Deep Cleaning
36th Ave between Foothill Blvd and Harper St,D5,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"36th Avenue between Foothill Boulevard and Harper Street, Oakland, CA",,,,Closure
Foothill Blvd between Crosby Ave and Harrington Ave,D5,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Foothill Boulevard between Crosby Avenue and Harrington Avenue, Oakland, CA",,,,Closure
Foothill Blvd between Crosby Ave & 36th Ave,D5,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Foothill Boulevard between Crosby Avenue & 36th Avenue, Oakland, CA",,,,Closure
Crosby Ave between Foothill Blvd and Harper St,D5,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Crosby Avenue between Foothill Boulevard and Harper Street, Oakland, CA",,,,Closure
Cul-de-sac at 73rd Ave and Herbert Guice Way,D6,High,"November 06, 2025","November 07, 2025",2025-11-06,2025-11-07,1,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Cul-de-sac at 73rd Avenue and Herbert Guice Way, Oakland, CA",,,,Closure
MLK between San Pablo Ave & W Grand Ave,D3,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between San Pablo Avenue & West Grand Avenue, Oakland, CA",,,,Closure
MLk between W Grand Ave & 23rd,D3,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",,,,Closure
W Grand Ave between San Pablo Ave & MLK,D3,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between San Pablo Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
23rd St. between MLK and San Pablo,D3,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",,,,Closure
San Pablo Ave between 23rd St and W Grand Ave,D3,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between 23rd Street and West Grand Avenue, Oakland, CA",,,,Closure
San Pablo Ave between W Grand Ave & MLK,D3,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between West Grand Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
Church St between Foohill Blvd and Bancroft Ave,D6,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Church Street between Foohill Boulevard and Bancroft Avenue, Oakland, CA",,,,Closure
Hilton St between 55th Ave and Bancroft Ave,D6,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Hilton Street between 55th Avenue and Bancroft Avenue, Oakland, CA",,,,Closure
Bancroft between Hilton St and Trask St,D6,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Bancroft between Hilton Street and Trask Street, Oakland, CA",,,,Closure
Bancroft Ave between 55th Ave and Hilton St,D6,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Bancroft Avenue between 55th Avenue and Hilton Street, Oakland, CA",,,,Closure
Bancroft between Cole St and 55th St,D6,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Bancroft between Cole Street and 55th Street, Oakland, CA",,,,Closure
55th Ave between Bancroft Ave & Hilton St,D6,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"55th Avenue between Bancroft Avenue & Hilton Street, Oakland, CA",,,,Closure
55th Ave between Hilton St & Foothill Blvd,D6,High,"November 03, 2025","November 07, 2025",2025-11-03,2025-11-07,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"55th Avenue between Hilton Street & Foothill Boulevard, Oakland, CA",,,,Closure
San Leandro St between Prune St and 100th Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Leandro Street between Prune Street and 100th Avenue, Oakland, CA",,,,Closure
98th Ave between Edes Ave and Walter Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"98th Avenue between Edes Avenue and Walter Avenue, Oakland, CA",,,,Closure
98th Ave between Walter Ave and Railroad Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"98th Avenue between Walter Avenue and Railroad Avenue, Oakland, CA",,,,Closure
Tyler st between Railroad Ave and Walter Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Tyler st between Railroad Avenue and Walter Avenue, Oakland, CA",,,,Closure
San Leandro St between 92nd Ave & 98th Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Leandro Street between 92nd Avenue & 98th Avenue, Oakland, CA",,,,Closure
Pearmain St between 98th Ave and Prune St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pearmain Street between 98th Avenue and Prune Street, Oakland, CA",,,,Closure
Pearmain St between 100th Ave and Prune St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pearmain Street between 100th Avenue and Prune Street, Oakland, CA",,,,Closure
Pearmain St between Douglas Ave and 100th Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pearmain Street between Douglas Avenue and 100th Avenue, Oakland, CA",,,,Closure
Pearmain St between Douglas Ave and Stone St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pearmain Street between Douglas Avenue and Stone Street, Oakland, CA",,,,Closure
Pearmain St between Stone St and Tartarian St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pearmain Street between Stone Street and Tartarian Street, Oakland, CA",,,,Closure
Pearmain St between Tartarian St and Apple St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pearmain Street between Tartarian Street and Apple Street, Oakland, CA",,,,Closure
Pearmain St between Apple St and Gravenstein St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pearmain Street between Apple Street and Gravenstein Street, Oakland, CA",,,,Closure
Pearmain St between Gravenstein St and 105th Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pearmain Street between Gravenstein Street and 105th Avenue, Oakland, CA",,,,Closure
Douglas Ave cul de sac,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Douglas Avenue cul de sac, Oakland, CA",,,,Closure
Stone St between San Leandro St and Pippin St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Stone Street between San Leandro Street and Pippin Street, Oakland, CA",,,,Closure
Stone St between Pippin St and Pearmain St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Stone Street between Pippin Street and Pearmain Street, Oakland, CA",,,,Closure
100th Ave between San Leandro St and Pippin St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"100th Avenue between San Leandro Street and Pippin Street, Oakland, CA",,,,Closure
100th Ave between Pippin St and Pearmain St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"100th Avenue between Pippin Street and Pearmain Street, Oakland, CA",,,,Closure
Prune St between San Leandro St and Pippin St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Prune Street between San Leandro Street and Pippin Street, Oakland, CA",,,,Closure
Prune St between Pippin St and Pearmain St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Prune Street between Pippin Street and Pearmain Street, Oakland, CA",,,,Closure
San Leandro St between 98th Ave and Prune St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Leandro Street between 98th Avenue and Prune Street, Oakland, CA",,,,Closure
San Leandro St between 100th Ave and Stone St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Leandro Street between 100th Avenue and Stone Street, Oakland, CA",,,,Closure
Pippin St between 98th Ave and Prune St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pippin Street between 98th Avenue and Prune Street, Oakland, CA",,,,Closure
Pippin St between Prune St and 100th Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pippin Street between Prune Street and 100th Avenue, Oakland, CA",,,,Closure
Pippin St between 100th Ave and Stone St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pippin Street between 100th Avenue and Stone Street, Oakland, CA",,,,Closure
Nevada St between Railroad Ave and Walter Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Nevada Street between Railroad Avenue and Walter Avenue, Oakland, CA",,,,Closure
Walter Ave between Nevada St and 98th Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Walter Avenue between Nevada Street and 98th Avenue, Oakland, CA",,,,Closure
Walter Ave between Tyler St and Nevada St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Walter Avenue between Tyler Street and Nevada Street, Oakland, CA",,,,Closure
Railroad Ave between 85th Ave and Louisana St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Railroad Avenue between 85th Avenue and Louisana Street, Oakland, CA",,,,Closure
Railroad Ave between Louisana St and Clara St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Railroad Avenue between Louisana Street and Clara Street, Oakland, CA",,,,Closure
Railroad Ave between Clara St and S Elmurst Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Railroad Avenue between Clara Street and South Elmurst Avenue, Oakland, CA",,,,Closure
Railroad Ave between S Elmurst Ave and Tyler St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Railroad Avenue between South Elmurst Avenue and Tyler Street, Oakland, CA",,,,Closure
Railroad Ave between Tyler St and Nevada St,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Railroad Avenue between Tyler Street and Nevada Street, Oakland, CA",,,,Closure
Railroad Ave between Nevada St and 98th Ave,D7,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Railroad Avenue between Nevada Street and 98th Avenue, Oakland, CA",,,,Closure
Pine St between 8th St and Goss St,D3,High,"October 27, 2025","October 31, 2025",2025-10-27,2025-10-31,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pine Street between 8th Street and Goss Street, Oakland, CA",,,,Closure
Grand Ave between MacArthur and Lake Park Ave,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Grand Avenue between MacArthur and Lake Park Avenue, Oakland, CA",,,,Closure
Lakeshore Ave between MacArthurd Ave and Lake Park Ave,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lakeshore Avenue between MacArthurd Avenue and Lake Park Avenue, Oakland, CA",,,,Closure
Lake Park Parking Lot,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Park Parking Lot, Oakland, CA",,,,Closure
Oak St between Fallon St and 2nd St,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Oak Street between Fallon Street and 2nd Street, Oakland, CA",,,,Closure
Oak St between 3rd St and 4th St,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Oak Street between 3rd Street and 4th Street, Oakland, CA",,,,Closure
Oak St between 2nd St and 3rd St,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Oak Street between 2nd Street and 3rd Street, Oakland, CA",,,,Closure
Fallon St between Victory Ct and Fallon St,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Fallon Street between Victory Court and Fallon Street, Oakland, CA",,,,Closure
Fallon St between 4th St and Victory Ct,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Fallon Street between 4th Street and Victory Court, Oakland, CA",,,,Closure
Fallon St between Oak St and Fallon St,D2,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Fallon Street between Oak Street and Fallon Street, Oakland, CA",,,,Closure
South Prescott Park and Dog Park,D3,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"South Prescott Park and Dog Park, Oakland, CA",,,,Closure
Peralta St between 5th St and 7th St,D3,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Peralta Street between 5th Street and 7th Street, Oakland, CA",,,,Closure
Peralta St between 3rd St & 5th St,D3,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Peralta Street between 3rd Street & 5th Street, Oakland, CA",,,,Closure
3rd St between Lewis St & Peralta St,D3,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"3rd Street between Lewis Street & Peralta Street, Oakland, CA",,,,Closure
3rd St between Henry St & Lewis St,D3,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"3rd Street between Henry Street & Lewis Street, Oakland, CA",,,,Closure
3rd St between Chester St and Henry St,D3,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"3rd Street between Chester Street and Henry Street, Oakland, CA",,,,Closure
3rd St between Center St and Chester St,D3,High,"October 20, 2025","October 24, 2025",2025-10-20,2025-10-24,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"3rd Street between Center Street and Chester Street, Oakland, CA",,,,Closure
Foothill Blvd between Frazier Ave and Talbot Ave,D7,High,"October 13, 2025","October 17, 2025",2025-10-13,2025-10-17,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Foothill Boulevard between Frazier Avenue and Talbot Avenue, Oakland, CA",,,,Closure
Foothill Blvd between MacArthur and Frazier Ave,D7,High,"October 13, 2025","October 17, 2025",2025-10-13,2025-10-17,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Foothill Boulevard between MacArthur and Frazier Avenue, Oakland, CA",,,,Closure
Foothill Blvd between Talbot Ave and 106th Ave,D7,High,"October 13, 2025","October 17, 2025",2025-10-13,2025-10-17,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Foothill Boulevard between Talbot Avenue and 106th Avenue, Oakland, CA",,,,Closure
Foothill between 106th Ave and 108th Ave,D7,High,"October 13, 2025","October 17, 2025",2025-10-13,2025-10-17,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Foothill between 106th Avenue and 108th Avenue, Oakland, CA",,,,Closure
Foothill Blvd between 108th Ave and Durant Ave,D7,High,"October 13, 2025","October 17, 2025",2025-10-13,2025-10-17,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Foothill Boulevard between 108th Avenue and Durant Avenue, Oakland, CA",,,,Closure
Talbot Ave between MacArthur Blvd and Fisher Ave,D7,High,"October 13, 2025","October 17, 2025",2025-10-13,2025-10-17,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Talbot Avenue between MacArthur Boulevard and Fisher Avenue, Oakland, CA",,,,Closure
Talbot Ave between Fisher Ave and Foothill Blvd,D7,High,"October 13, 2025","October 17, 2025",2025-10-13,2025-10-17,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,intersection,"Talbot Avenue between Fisher Avenue and Foothill Boulevard, Oakland, CA",,,,Closure
