location_raw,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes
10451 MacArthur Blvd.,address,"10451 MacArthur Boulevard, Oakland, CA",37.743673,-122.1529744,nominatim,
6th St between Franklin and Broadway,intersection,"6th Street between Franklin and Broadway, Oakland, CA",37.798574325,-122.27403294999999,overpass_midpoint,
San Leandro Street between Seminary & 66th Avenue,intersection,"San Leandro Street between Seminary & 66th Avenue, Oakland, CA",37.758851,-122.20315375,overpass_midpoint,
73rd and San Leandro St/Coliseum/Airport Amtrak,intersection,"73rd and San Leandro Street, Oakland, CA",,,nominatim_no_result,nominatim_no_result
Harrison St between 4th St and 5th St,intersection,"Harrison Street between 4th Street and 5th Street, Oakland, CA",37.79151010416667,-122.30939472083334,overpass_midpoint,
5th St between Harrison St and Webster St,intersection,"5th Street between Harrison Street and Webster Street, Oakland, CA",37.79398951666667,-122.29380395833334,overpass_midpoint,
Baldwin between Hegenberger and 85th Ave,intersection,"Baldwin between Hegenberger and 85th Avenue, Oakland, CA",37.7440719,-122.1912956,overpass_endpoint_cross2,
Lakeshore Ave between Boden Ave & Brooklyn Ave,intersection,"Lakeshore Avenue between Boden Avenue & Brooklyn Avenue, Oakland, CA",37.8052205,-122.2505511,overpass_endpoint_cross2,
Cul de sac at 36th Ave and E. 9th St,intersection,"Cul de sac at 36th Avenue and East 9th Street, Oakland, CA",37.77224,-122.2243955,overpass_direct,
73rd Ave and Hawley St Access Road,intersection,"73rd Avenue and Hawley Street Access Road, Oakland, CA",,,nominatim_no_result,nominatim_no_result
71st Ave and San Leandro St: 700 71st St,intersection,"71st Avenue and San Leandro Street, Oakland, CA",37.754198450000004,-122.19781885,overpass_direct,
Telegraph Ave between 23rd St and W Grand Ave,intersection,"Telegraph Avenue between 23rd Street and West Grand Avenue, Oakland, CA",37.812246175,-122.26891492499999,overpass_midpoint,
Cul de sac at 35th Ave and E. 9th St,intersection,"Cul de sac at 35th Avenue and East 9th Street, Oakland, CA",37.7725941,-122.2254549,overpass_direct,
Cul de sac at 34th Ave and E. 9th St,intersection,"Cul de sac at 34th Avenue and East 9th Street, Oakland, CA",37.7728548,-122.2262435,overpass_direct,
Cul de sac at 33rd Ave and E. 9th St,intersection,"Cul de sac at 33rd Avenue and East 9th Street, Oakland, CA",37.7731283,-122.227024,overpass_direct,
75th Ave between Snell St & Hawley St,intersection,"75th Avenue between Snell Street & Hawley Street, Oakland, CA",37.7530254,-122.19409734999999,overpass_midpoint,
Webster Place between 5th St and 6th St,intersection,"Webster Place between 5th Street and 6th Street, Oakland, CA",37.79727355,-122.27179742499999,overpass_midpoint,
6th St between Alice St and Jackson St,intersection,"6th Street between Alice Street and Jackson Street, Oakland, CA",37.79673135,-122.26927140000001,overpass_midpoint,
Bancroft Ave between 74th Ave and 75th Ave,intersection,"Bancroft Avenue between 74th Avenue and 75th Avenue, Oakland, CA",37.765325975,-122.17580305,overpass_midpoint,
Lakeshore Ave between Brooklyn Ave & Wayne Ave,intersection,"Lakeshore Avenue between Brooklyn Avenue & Wayne Avenue, Oakland, CA",37.8052205,-122.2505511,overpass_endpoint_cross1,
61st St between San Pablo Ave & Baker St,intersection,"61st Street between San Pablo Avenue & Baker Street, Oakland, CA",37.844409950000006,-122.2815217,overpass_midpoint,
Baker St between 61st Pl & 62nd St,intersection,"Baker Street between 61st Place & 62nd Street, Oakland, CA",37.845202725,-122.2790639,overpass_midpoint,
San Pablo Ave between 61st St & 63rd St,intersection,"San Pablo Avenue between 61st Street & 63rd Street, Oakland, CA",37.844931075000005,-122.28435895,overpass_midpoint,
63rd St between Hezrog St & San Pablo Ave,intersection,"63rd Street between Hezrog Street & San Pablo Avenue, Oakland, CA",37.845859250000004,-122.2846577,overpass_endpoint_cross2,
Lakeshore Ave between Hanover and E18th St,intersection,"Lakeshore Avenue between Hanover and E18th Street, Oakland, CA",37.801561750000005,-122.25418454999999,overpass_midpoint,
Lakeshore Ave between El Embarcardeo & Boden Ave,intersection,"Lakeshore Avenue between El Embarcardeo & Boden Avenue, Oakland, CA",,,nominatim_no_result,nominatim_no_result
5th Ave between E 8th St & E 10th St,intersection,"5th Avenue between E 8th Street & E 10th Street, Oakland, CA",37.79330218333334,-122.25729238333334,overpass_midpoint,
62nd St between Herzog St & Baker St,intersection,"62nd Street between Herzog Street & Baker Street, Oakland, CA",37.845537375,-122.280953,overpass_midpoint,
45th between Telegraph & MLK,intersection,"45th between Telegraph & Martin Luther King Jr Boulevard, Oakland, CA",37.83330505,-122.26546540000001,overpass_midpoint,
Lakeshore Ave between Wayne Ave & Hanover,intersection,"Lakeshore Avenue between Wayne Avenue & Hanover, Oakland, CA",37.8025744,-122.2539511,overpass_endpoint_cross2,
7th St between Castro St & Gerry Adams Way,intersection,"7th Street between Castro Street & Gerry Adams Way, Oakland, CA",37.80181415,-122.2798908,overpass_endpoint_cross1,
Hawley St between 72nd Ave & 73rd Ave,intersection,"Hawley Street between 72nd Avenue & 73rd Avenue, Oakland, CA",37.7548631,-122.194608,overpass_midpoint,
Bancroft Ave between 73rd Ave and 74th Ave,intersection,"Bancroft Avenue between 73rd Avenue and 74th Avenue, Oakland, CA",37.76577972,-122.17648183,overpass_midpoint,
Hezrog St between 62nd St & 63rd St,intersection,"Hezrog Street between 62nd Street & 63rd Street, Oakland, CA",,,nominatim_no_result,nominatim_no_result
23rd St. between MLK and San Pablo,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",37.813633725,-122.2734581,overpass_midpoint,
61st Pl between Baker St & Lowell St,intersection,"61st Place between Baker Street & Lowell Street, Oakland, CA",37.84470725,-122.27805455000001,overpass_midpoint,
30th St. between MLK and Telegraph,intersection,"30th Street. between Martin Luther King Jr Boulevard and Telegraph, Oakland, CA",37.819447775,-122.26906385000001,overpass_midpoint,
E St between 104th Ave & 105th Ave,intersection,"East Street between 104th Avenue & 105th Avenue, Oakland, CA",37.736740350000005,-122.17294054999999,overpass_midpoint,
E St between 103rd Ave and 104th Ave,intersection,"East Street between 103rd Avenue and 104th Avenue, Oakland, CA",37.7373374,-122.17339104999999,overpass_midpoint,
E St between 102nd and 103rd Ave,intersection,"East Street between 102nd and 103rd Avenue, Oakland, CA",37.73802415,-122.17390405,overpass_midpoint,
E St between 100th Ave and 101st Ave,intersection,"East Street between 100th Avenue and 101st Avenue, Oakland, CA",37.7393019,-122.17503275,overpass_midpoint,
E St between 98th Ave and 100th Ave,intersection,"East Street between 98th Avenue and 100th Avenue, Oakland, CA",37.740515825,-122.17603725000001,overpass_midpoint,
Median at Mandela Pkwy between 12th St and 14th St,intersection,"Median at Mandela Parkway between 12th Street and 14th Street, Oakland, CA",37.809968525,-122.291833275,overpass_midpoint,
Mandela Pkwy between 13th St and 14th St,intersection,"Mandela Parkway between 13th Street and 14th Street, Oakland, CA",37.810359125000005,-122.29178160000001,overpass_midpoint,
West St between West Grand Ave and San Pablo Ave,intersection,"West Street between West Grand Avenue and San Pablo Avenue, Oakland, CA",37.81442644166667,-122.27536013333334,overpass_midpoint,
E St between 101st Ave and 102nd Ave,intersection,"East Street between 101st Avenue and 102nd Avenue, Oakland, CA",37.738700800000004,-122.17447995,overpass_midpoint,
W. Grand Between West St and Isabella St,intersection,"West Grand Between West Street and Isabella Street, Oakland, CA",37.813829075,-122.276926425,overpass_midpoint,
23rd St between West St and Brush St,intersection,"23rd Street between West Street and Brush Street, Oakland, CA",37.813530650000004,-122.27507095,overpass_midpoint,
Clara St between Edes & Oscar Ave,intersection,"Clara Street between Edes & Oscar Avenue, Oakland, CA",37.738170100000005,-122.186922225,overpass_midpoint,
Median at 1008 E 23rd St and Calcot Pl,intersection,"Median at 1008 E 23rd Street and Calcot Place, Oakland, CA",,,nominatim_no_result,nominatim_no_result
Coral Rd between Cairo Rd & Sextus Rd,intersection,"Coral Road between Cairo Road & Sextus Road, Oakland, CA",37.7335832,-122.191033,overpass_midpoint,
Coral Rd between Tunist Rd & Sextus Rd,intersection,"Coral Road between Tunist Road & Sextus Road, Oakland, CA",37.7332682,-122.1907527,overpass_endpoint_cross2,
Cul-de-sac at 39th St. and MLK,intersection,"Cul-de-sac at 39th Street. and Martin Luther King Jr Boulevard, Oakland, CA",37.82904,-122.2686313,overpass_direct,
Bancroft Way between 46th Ave & 47th Ave,intersection,"Bancroft Way between 46th Avenue & 47th Avenue, Oakland, CA",37.771277749999996,-122.2106886,overpass_midpoint,
Enterprise Way between Edes Ave and 85th Ave,intersection,"Enterprise Way between Edes Avenue and 85th Avenue, Oakland, CA",37.7429767,-122.19359255,overpass_midpoint,
W. Grand Between Brush St and West St,intersection,"West Grand Between Brush Street and West Street, Oakland, CA",37.8131853,-122.2752921,overpass_midpoint,
88th Ave between Holly St and International Blvd (Elmhurst Library),intersection,"88th Avenue between Holly Street and International Boulevard (Elmhurst Library), Oakland, CA",37.7514381,-122.174659175,overpass_midpoint,
High Street Between Bond Street and Foothill,intersection,"High Street Between Bond Street and Foothill, Oakland, CA",37.7743986,-122.212156,overpass_midpoint,
Auseon Ave between International Blvd & Holly St,intersection,"Auseon Avenue between International Boulevard & Holly Street, Oakland, CA",37.75263955,-122.1755193,overpass_midpoint,
Lowell St between Arlington Ave & Grace Ave,intersection,"Lowell Street between Arlington Avenue & Grace Avenue, Oakland, CA",37.842461549999996,-122.27688415,overpass_midpoint,
61st St between Bakers St & Lowell St,intersection,"61st Street between Bakers Street & Lowell Street, Oakland, CA",37.845245,-122.2772439,overpass_endpoint_cross2,
Lowell St between Grace Ave & Stanford Ave,intersection,"Lowell Street between Grace Avenue & Stanford Avenue, Oakland, CA",37.843141974999995,-122.27696879999999,overpass_midpoint,
Lowell St between 57th St & Arlinton Ave,intersection,"Lowell Street between 57th Street & Arlinton Avenue, Oakland, CA",37.8414383,-122.276709,overpass_endpoint_cross1,
Lowell St between Aileen St & 57th St,intersection,"Lowell Street between Aileen Street & 57th Street, Oakland, CA",37.841058700000005,-122.27663275,overpass_midpoint,
Stanford Ave between Los Angeles and Lowell St,intersection,"Stanford Avenue between Los Angeles and Lowell Street, Oakland, CA",37.84307895,-122.277950825,overpass_midpoint,
Stanford Ave between Lowell St and Market St,intersection,"Stanford Avenue between Lowell Street and Market Street, Oakland, CA",37.8439090625,-122.27608665,overpass_midpoint,
Grace Ave between Lowell St and Los Angeles St,intersection,"Grace Avenue between Lowell Street and Los Angeles Street, Oakland, CA",37.842621949999995,-122.2778753,overpass_midpoint,
Arlington Ave between Grace Lowell St and Los Angeles St,intersection,"Arlington Avenue between Grace Lowell Street and Los Angeles Street, Oakland, CA",37.8417709,-122.278601,overpass_endpoint_cross2,
89th Ave between International Blvd & Holly St,intersection,"89th Avenue between International Boulevard & Holly Street, Oakland, CA",37.750760125,-122.174155375,overpass_midpoint,
International Blvd between 90th Ave and 91st Ave,intersection,"International Boulevard between 90th Avenue and 91st Avenue, Oakland, CA",37.749425716666664,-122.17432263333333,overpass_midpoint,
84th Ave between International Blvd & A St,intersection,"84th Avenue between International Boulevard & A Street, Oakland, CA",37.753745025,-122.1786831,overpass_midpoint,
81st Ave between International Blvd & Holly St,intersection,"81st Avenue between International Boulevard & Holly Street, Oakland, CA",37.7567551,-122.1793134,overpass_midpoint,
International Blvd between 89th Ave and 90th Ave,intersection,"International Boulevard between 89th Avenue and 90th Avenue, Oakland, CA",37.75005484166667,-122.17475275833334,overpass_midpoint,
International Blvd between 88th Ave and 89th Ave,intersection,"International Boulevard between 88th Avenue and 89th Avenue, Oakland, CA",37.750760225,-122.17525930000001,overpass_midpoint,
International Blvd between 87th Ave and 88th Ave,intersection,"International Boulevard between 87th Avenue and 88th Avenue, Oakland, CA",37.751416725,-122.175741125,overpass_midpoint,
International Blvd between 86th Ave and 87th Ave,intersection,"International Boulevard between 86th Avenue and 87th Avenue, Oakland, CA",37.7522276,-122.176345375,overpass_midpoint,
91st Ave between International Blvd & A St,intersection,"91st Avenue between International Boulevard & A Street, Oakland, CA",37.74875425,-122.17501759999999,overpass_midpoint,
90th Ave between International Blvd & A St,intersection,"90th Avenue between International Boulevard & A Street, Oakland, CA",37.749344066666666,-122.17543288333333,overpass_midpoint,
W MacArthur Blvd between Dover St & MLK,intersection,"West MacArthur Boulevard between Dover Street & Martin Luther King Jr Boulevard, Oakland, CA",37.8271864,-122.26909665,overpass_endpoint_cross2,
57th Ave between Bancroft and Laverne Ave,intersection,"57th Avenue between Bancroft and Laverne Avenue, Oakland, CA",37.7717346,-122.194093,overpass_midpoint,
Castro St between 9th St & 10th St,intersection,"Castro Street between 9th Street & 10th Street, Oakland, CA",37.8035403,-122.27902375,overpass_midpoint,
55th Ave between Foothill Blvd and Laverne Ave,intersection,"55th Avenue between Foothill Boulevard and Laverne Avenue, Oakland, CA",37.7729468,-122.19542415000001,overpass_midpoint,
Trask St between Foothill Blvd and Bancroft Ave,intersection,"Trask Street between Foothill Boulevard and Bancroft Avenue, Oakland, CA",37.771930350000005,-122.19510885,overpass_midpoint,
Foothill blvd between Trask St and 57th Ave,intersection,"Foothill blvd between Trask Street and 57th Avenue, Oakland, CA",37.77241375,-122.19489225,overpass_midpoint,
57th Ave between Foothill Blvd and Bancroft Ave,intersection,"57th Avenue between Foothill Boulevard and Bancroft Avenue, Oakland, CA",37.7717346,-122.194093,overpass_midpoint,
Bancroft between Cole St and Trask St,intersection,"Bancroft between Cole Street and Trask Street, Oakland, CA",37.7715042,-122.1964352,overpass_midpoint,
33rd St between 34th St and Telegraph Ave,intersection,"33rd Street between 34th Street and Telegraph Avenue, Oakland, CA",37.822257199999996,-122.26714874999999,overpass_midpoint,
34th St between Andover St & Elm St,intersection,"34th Street between Andover Street & Elm Street, Oakland, CA",37.82207235,-122.26470520000001,overpass_midpoint,
34th St between Elm St & Telegraph Ave,intersection,"34th Street between Elm Street & Telegraph Avenue, Oakland, CA",37.8223285,-122.26573555,overpass_midpoint,
34th St between MLK & Telegraph Ave (Overpass),intersection,"34th Street between Martin Luther King Jr Boulevard & Telegraph Avenue (Overpass), Oakland, CA",37.8229271,-122.2681601,overpass_midpoint,
6th St between Broadway and Washington St,intersection,"6th Street between Broadway and Washington Street, Oakland, CA",37.799049724999996,-122.2752635,overpass_midpoint,
Castro St between 3rd St and 4th St,intersection,"Castro Street between 3rd Street and 4th Street, Oakland, CA",37.799437,-122.2816706,overpass_midpoint,
Castro St between 4th St and 5th St,intersection,"Castro Street between 4th Street and 5th Street, Oakland, CA",37.8001285,-122.28123395,overpass_midpoint,
Castro St between 5th St and 6th St,intersection,"Castro Street between 5th Street and 6th Street, Oakland, CA",37.8008074,-122.28080270000001,overpass_midpoint,
Jefferson St between 2nd St and Embarcadero West,intersection,"Jefferson Street between 2nd Street and Embarcadero West, Oakland, CA",37.79711875,-122.280175375,overpass_midpoint,
73rd Ave between Internationaland Orral St,intersection,"73rd Avenue between Internationaland Orral Street, Oakland, CA",,,nominatim_no_result,nominatim_no_result
Hamilton St between 69th Ave and 70th Ave,intersection,"Hamilton Street between 69th Avenue and 70th Avenue, Oakland, CA",37.758713900000004,-122.19265214999999,overpass_midpoint,
Hamilton St between 70th Ave and 71st Ave,intersection,"Hamilton Street between 70th Avenue and 71st Avenue, Oakland, CA",37.75819205,-122.19211795,overpass_midpoint,
Hamilton St between 71st Ave and 72nd Ave,intersection,"Hamilton Street between 71st Avenue and 72nd Avenue, Oakland, CA",37.757669050000004,-122.1915864,overpass_midpoint,
Bancroft between Hole St & Trask St,intersection,"Bancroft between Hole Street & Trask Street, Oakland, CA",37.7712512,-122.1943096,overpass_endpoint_cross2,
San Leandro St between 105th Ave and 106th Ave,intersection,"San Leandro Street between 105th Avenue and 106th Avenue, Oakland, CA",37.73523095,-122.174403825,overpass_midpoint,
San Leandro St between 106th Ave and 107th Ave,intersection,"San Leandro Street between 106th Avenue and 107th Avenue, Oakland, CA",37.7347854,-122.17365745000001,overpass_midpoint,
105th Ave between Russet St & San Leandro St,intersection,"105th Avenue between Russet Street & San Leandro Street, Oakland, CA",37.73536665,-122.17499907499999,overpass_midpoint,
E 10th St between 2nd Ave & 4th Ave,intersection,"E 10th Street between 2nd Avenue & 4th Avenue, Oakland, CA",37.79521025,-122.25834019999999,overpass_midpoint,
E 10th St between 4th Ave & 5th Ave,intersection,"E 10th Street between 4th Avenue & 5th Avenue, Oakland, CA",37.79411205,-122.25709420000001,overpass_midpoint,
E 10th St between 5th Ave & 6th Ave,intersection,"E 10th Street between 5th Avenue & 6th Avenue, Oakland, CA",37.7933809,-122.25625495,overpass_midpoint,
7th St & E 8th St between Fallon St & 6th Ave,intersection,"7th Street & E 8th Street between Fallon Street & 6th Avenue, Oakland, CA",,,nominatim_no_result,nominatim_no_result
21st St between Linden St and Chestnut St,intersection,"21st Street between Linden Street and Chestnut Street, Oakland, CA",37.8141086,-122.2827507,overpass_midpoint,
W Grand between Linden St & Adeline St,intersection,"West Grand between Linden Street & Adeline Street, Oakland, CA",37.815319,-122.2829097,overpass_midpoint,
Union St between 21st St & W Grand Ave,intersection,"Union Street between 21st Street & West Grand Avenue, Oakland, CA",37.81547865,-122.28634235,overpass_midpoint,
Union St between 19th St & 21st St,intersection,"Union Street between 19th Street & 21st Street, Oakland, CA",37.8143553,-122.28674355,overpass_midpoint,
Hamilton St between 72nd Ave and 73rd Ave,intersection,"Hamilton Street between 72nd Avenue and 73rd Avenue, Oakland, CA",37.7571471,-122.19105694999999,overpass_midpoint,
19th St between Union St and Adeline St,intersection,"19th Street between Union Street and Adeline Street, Oakland, CA",37.8135566,-122.28586645,overpass_midpoint,
Poplar St between 20th St and 21st St,intersection,"Poplar Street between 20th Street and 21st Street, Oakland, CA",37.814869,-122.28762004999999,overpass_midpoint,
Poplar St between 18th St and 20th St,intersection,"Poplar Street between 18th Street and 20th Street, Oakland, CA",37.81392685,-122.28795545,overpass_midpoint,
Adeline St between 21st St & W Grand Ave,intersection,"Adeline Street between 21st Street & West Grand Avenue, Oakland, CA",37.81499195,-122.284188975,overpass_midpoint,
Adeline St between 18th St & 19th St,intersection,"Adeline Street between 18th Street & 19th Street, Oakland, CA",37.81283565,-122.28496505000001,overpass_midpoint,
18th St between Mandela Pkwy & Poplar St,intersection,"18th Street between Mandela Parkway & Poplar Street, Oakland, CA",37.813498325,-122.2893109,overpass_midpoint,
18th St between Poplar St and Adeline St,intersection,"18th Street between Poplar Street and Adeline Street, Oakland, CA",37.81280555,-122.28666770000001,overpass_midpoint,
Linden St between 21St & W Grand Ave,intersection,"Linden Street between 21St & West Grand Avenue, Oakland, CA",37.8150738,-122.28183394999999,overpass_endpoint_cross2,
Railroad Ave between Louisiana St and 85th Ave,intersection,"Railroad Avenue between Louisiana Street and 85th Avenue, Oakland, CA",37.74312075,-122.18805735000001,overpass_midpoint,
Poplar St between 21st St and W Grand Ave,intersection,"Poplar Street between 21st Street and West Grand Avenue, Oakland, CA",37.8157039,-122.28732257499999,overpass_midpoint,
Hamilton St between 73rd Ave and Hegenberger Rd,intersection,"Hamilton Street between 73rd Avenue and Hegenberger Road, Oakland, CA",37.7566248,-122.19052339999999,overpass_midpoint,
Peralta St between 3rd St and 7th St,intersection,"Peralta Street between 3rd Street and 7th Street, Oakland, CA",37.804809475,-122.299190575,overpass_midpoint,
E 8th St between Fruitvale Ave and 34th Ave,intersection,"E 8th Street between Fruitvale Avenue and 34th Avenue, Oakland, CA",37.77264915000001,-122.22704025,overpass_midpoint,
Grand Ave between Bellevue Ave & Euclid Ave,intersection,"Grand Avenue between Bellevue Avenue & Euclid Avenue, Oakland, CA",37.8089241,-122.25389412499999,overpass_midpoint,
MLK Way between 4th St & 5th St,intersection,"Martin Luther King Jr Boulevard Way between 4th Street & 5th Street, Oakland, CA",37.79966535,-122.280057,overpass_midpoint,
MLK Way between 3rd St & 4th St,intersection,"Martin Luther King Jr Boulevard Way between 3rd Street & 4th Street, Oakland, CA",37.79897045,-122.28048575,overpass_midpoint,
MLK Way between 2nd St & 3rd St,intersection,"Martin Luther King Jr Boulevard Way between 2nd Street & 3rd Street, Oakland, CA",37.79828195,-122.2809186,overpass_midpoint,
4th St between Clay St & Washington st,intersection,"4th Street between Clay Street & Washington st, Oakland, CA",37.798159,-122.2773313,overpass_midpoint,
4th St between Jefferson St & Clay St,intersection,"4th Street between Jefferson Street & Clay Street, Oakland, CA",37.798623750000004,-122.27850925,overpass_midpoint,
4th St between MLK & Jefferson St,intersection,"4th Street between Martin Luther King Jr Boulevard & Jefferson Street, Oakland, CA",37.799085950000006,-122.2796816,overpass_midpoint,
Thomas L Berkley Way between Castro St and MLK,intersection,"Thomas L Berkley Way between Castro Street and Martin Luther King Jr Boulevard, Oakland, CA",,,nominatim_no_result,nominatim_no_result
Bellevue Ave between Grand Ave & Staten Ave,intersection,"Bellevue Avenue between Grand Avenue & Staten Avenue, Oakland, CA",37.8084856,-122.25502287500001,overpass_midpoint,
Castro St between 20th St & San Pablo Ave,intersection,"Castro Street between 20th Street & San Pablo Avenue, Oakland, CA",37.791531291666665,-122.35638515,overpass_midpoint,
Castro St between 18th St & 19th St,intersection,"Castro Street between 18th Street & 19th Street, Oakland, CA",37.784870475000005,-122.355122725,overpass_midpoint,
Castro St between 17th St & 18th St,intersection,"Castro Street between 17th Street & 18th Street, Oakland, CA",37.79686565,-122.3155979,overpass_midpoint,
Castro St between 10th St & 11th St,intersection,"Castro Street between 10th Street & 11th Street, Oakland, CA",37.804248650000005,-122.27866,overpass_midpoint,
6th Ave between International Blvd and E 12th St,intersection,"6th Avenue between International Boulevard and E 12th Street, Oakland, CA",37.79468405,-122.25350055,overpass_midpoint,
Castro St between 8th St & 9th St,intersection,"Castro Street between 8th Street & 9th Street, Oakland, CA",37.802672875,-122.279394075,overpass_midpoint,
Castro St between 7th St & 8th St,intersection,"Castro Street between 7th Street & 8th Street, Oakland, CA",37.8019901,-122.279749425,overpass_midpoint,
Castro St between 6th and 7th St,intersection,"Castro Street between 6th and 7th Street, Oakland, CA",37.801477475,-122.2802414,overpass_midpoint,
Laverne Ave between 55th Ave and Foothill Blvd,intersection,"Laverne Avenue between 55th Avenue and Foothill Boulevard, Oakland, CA",37.77275105,-122.19440829999999,overpass_midpoint,
Castro St between 19th St & 20th St,intersection,"Castro Street between 19th Street & 20th Street, Oakland, CA",37.771161025,-122.394848825,overpass_midpoint,
Foothill Blvd between 55th Ave and 57th Ave,intersection,"Foothill Boulevard between 55th Avenue and 57th Avenue, Oakland, CA",37.77241375,-122.19489225,overpass_midpoint,
Mandela Pkwy between 10th St and 11th St,intersection,"Mandela Parkway between 10th Street and 11th Street, Oakland, CA",37.80814492499999,-122.29256187499999,overpass_midpoint,
Mandela Pkwy between 8th St and Dr Huey P. Newton Wy,intersection,"Mandela Parkway between 8th Street and Drive Huey P. Newton Wy, Oakland, CA",37.80606285,-122.29321924999999,overpass_endpoint_cross1,
E 8th St between 34th Ave and 36th Ave,intersection,"E 8th Street between 34th Avenue and 36th Avenue, Oakland, CA",37.772046450000005,-122.22537679999999,overpass_midpoint,
E 8th St between 36th Ave and 37th Ave,intersection,"E 8th Street between 36th Avenue and 37th Avenue, Oakland, CA",37.771534599999995,-122.22429819999999,overpass_midpoint,
Alameda Avenue between E 8th St and Howard St,intersection,"Alameda Avenue between E 8th Street and Howard Street, Oakland, CA",37.7681548,-122.2213983,overpass_endpoint_cross1,
Alameda Avenue between Oakport St and  E 8th St,intersection,"Alameda Avenue between Oakport Street and E 8th Street, Oakland, CA",37.7680838,-122.22101415,overpass_midpoint,
E 9th St between Fruitvale Ave and 33rd Ave,intersection,"E 9th Street between Fruitvale Avenue and 33rd Avenue, Oakland, CA",37.77330945,-122.22744455,overpass_midpoint,
E 9th St between 34th Ave and 35th Ave,intersection,"E 9th Street between 34th Avenue and 35th Avenue, Oakland, CA",37.77272445,-122.2258492,overpass_midpoint,
E 9th St between 33rd Ave and 34th Ave,intersection,"E 9th Street between 33rd Avenue and 34th Avenue, Oakland, CA",37.77299155,-122.22663374999999,overpass_midpoint,
E 9th St between 35th Ave and 36th Ave,intersection,"E 9th Street between 35th Avenue and 36th Avenue, Oakland, CA",37.77241705,-122.2249252,overpass_midpoint,
Mandela Pkwy between Dr Huey P. Newton Wy and 10th St,intersection,"Mandela Parkway between Drive Huey P. Newton Wy and 10th Street, Oakland, CA",37.807853949999995,-122.29258155,overpass_endpoint_cross2,
E 9th St between 36th Ave and 37th Ave,intersection,"E 9th Street between 36th Avenue and 37th Avenue, Oakland, CA",37.772084,-122.22390175000001,overpass_midpoint,
16th St between Poplar St and Union St,intersection,"16th Street between Poplar Street and Union Street, Oakland, CA",37.8116627,-122.28825710000001,overpass_midpoint,
16th St between Union St and Magnolia St,intersection,"16th Street between Union Street and Magnolia Street, Oakland, CA",37.8114274,-122.28723245,overpass_midpoint,
16th St between Magnolia St & Adeline St,intersection,"16th Street between Magnolia Street & Adeline Street, Oakland, CA",37.81118075,-122.2861484,overpass_midpoint,
Adeline St between 16th St and 18th St,intersection,"Adeline Street between 16th Street and 18th Street, Oakland, CA",37.81171235,-122.28537395000001,overpass_midpoint,
Poplar St between W Grand Ave and 24th St,intersection,"Poplar Street between West Grand Avenue and 24th Street, Oakland, CA",37.80063355,-122.320478675,overpass_midpoint,
