location_raw,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes
Cul de sac at 35th Ave and E. 9th St,intersection,"Cul de sac at 35th Avenue and East 9th Street, Oakland, CA",,,,
Cul de sac at 34th Ave and E. 9th St,intersection,"Cul de sac at 34th Avenue and East 9th Street, Oakland, CA",,,,
Cul de sac at 33rd Ave and E. 9th St,intersection,"Cul de sac at 33rd Avenue and East 9th Street, Oakland, CA",,,,
75th Ave between Snell St & Hawley St,intersection,"75th Avenue between Snell Street & Hawley Street, Oakland, CA",,,,
Webster Place between 5th St and 6th St,intersection,"Webster Place between 5th Street and 6th Street, Oakland, CA",,,,
6th St between Alice St and Jackson St,intersection,"6th Street between Alice Street and Jackson Street, Oakland, CA",,,,
Bancroft Ave between 74th Ave and 75th Ave,intersection,"Bancroft Avenue between 74th Avenue and 75th Avenue, Oakland, CA",,,,
Lakeshore Ave between Brooklyn Ave & Wayne Ave,intersection,"Lakeshore Avenue between Brooklyn Avenue & Wayne Avenue, Oakland, CA",,,,
61st St between San Pablo Ave & Baker St,intersection,"61st Street between San Pablo Avenue & Baker Street, Oakland, CA",,,,
Baker St between 61st Pl & 62nd St,intersection,"Baker Street between 61st Place & 62nd Street, Oakland, CA",,,,
San Pablo Ave between 61st St & 63rd St,intersection,"San Pablo Avenue between 61st Street & 63rd Street, Oakland, CA",,,,
63rd St between Hezrog St & San Pablo Ave,intersection,"63rd Street between Hezrog Street & San Pablo Avenue, Oakland, CA",,,,
Lakeshore Ave between Hanover and E18th St,intersection,"Lakeshore Avenue between Hanover and E18th Street, Oakland, CA",,,,
Lakeshore Ave between El Embarcardeo & Boden Ave,intersection,"Lakeshore Avenue between El Embarcardeo & Boden Avenue, Oakland, CA",,,,
5th Ave between E 8th St & E 10th St,intersection,"5th Avenue between E 8th Street & E 10th Street, Oakland, CA",,,,
62nd St between Herzog St & Baker St,intersection,"62nd Street between Herzog Street & Baker Street, Oakland, CA",,,,
45th between Telegraph & MLK,intersection,"45th between Telegraph & Martin Luther King Jr Boulevard, Oakland, CA",,,,
Lakeshore Ave between Wayne Ave & Hanover,intersection,"Lakeshore Avenue between Wayne Avenue & Hanover, Oakland, CA",,,,
7th St between Castro St & Gerry Adams Way,intersection,"7th Street between Castro Street & Gerry Adams Way, Oakland, CA",,,,
Hawley St between 72nd Ave & 73rd Ave,intersection,"Hawley Street between 72nd Avenue & 73rd Avenue, Oakland, CA",,,,
Bancroft Ave between 73rd Ave and 74th Ave,intersection,"Bancroft Avenue between 73rd Avenue and 74th Avenue, Oakland, CA",,,,
Hezrog St between 62nd St & 63rd St,intersection,"Hezrog Street between 62nd Street & 63rd Street, Oakland, CA",,,,
23rd St. between MLK and San Pablo,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",,,,
61st Pl between Baker St & Lowell St,intersection,"61st Place between Baker Street & Lowell Street, Oakland, CA",,,,
30th St. between MLK and Telegraph,intersection,"30th Street. between Martin Luther King Jr Boulevard and Telegraph, Oakland, CA",,,,
E St between 104th Ave & 105th Ave,intersection,"East Street between 104th Avenue & 105th Avenue, Oakland, CA",,,,
E St between 103rd Ave and 104th Ave,intersection,"East Street between 103rd Avenue and 104th Avenue, Oakland, CA",,,,
E St between 102nd and 103rd Ave,intersection,"East Street between 102nd and 103rd Avenue, Oakland, CA",,,,
E St between 100th Ave and 101st Ave,intersection,"East Street between 100th Avenue and 101st Avenue, Oakland, CA",,,,
E St between 98th Ave and 100th Ave,intersection,"East Street between 98th Avenue and 100th Avenue, Oakland, CA",,,,
Median at Mandela Pkwy between 12th St and 14th St,intersection,"Median at Mandela Parkway between 12th Street and 14th Street, Oakland, CA",,,,
Mandela Pkwy between 13th St and 14th St,intersection,"Mandela Parkway between 13th Street and 14th Street, Oakland, CA",,,,
West St between West Grand Ave and San Pablo Ave,intersection,"West Street between West Grand Avenue and San Pablo Avenue, Oakland, CA",,,,
E St between 101st Ave and 102nd Ave,intersection,"East Street between 101st Avenue and 102nd Avenue, Oakland, CA",,,,
W. Grand Between West St and Isabella St,intersection,"West Grand Between West Street and Isabella Street, Oakland, CA",,,,
23rd St between West St and Brush St,intersection,"23rd Street between West Street and Brush Street, Oakland, CA",,,,
Clara St between Edes & Oscar Ave,intersection,"Clara Street between Edes & Oscar Avenue, Oakland, CA",,,,
Median at 1008 E 23rd St and Calcot Pl,intersection,"Median at 1008 E 23rd Street and Calcot Place, Oakland, CA",,,,
Coral Rd between Cairo Rd & Sextus Rd,intersection,"Coral Road between Cairo Road & Sextus Road, Oakland, CA",,,,
Coral Rd between Tunist Rd & Sextus Rd,intersection,"Coral Road between Tunist Road & Sextus Road, Oakland, CA",,,,
Cul-de-sac at 39th St. and MLK,intersection,"Cul-de-sac at 39th Street. and Martin Luther King Jr Boulevard, Oakland, CA",,,,
Bancroft Way between 46th Ave & 47th Ave,intersection,"Bancroft Way between 46th Avenue & 47th Avenue, Oakland, CA",,,,
Enterprise Way between Edes Ave and 85th Ave,intersection,"Enterprise Way between Edes Avenue and 85th Avenue, Oakland, CA",,,,
W. Grand Between Brush St and West St,intersection,"West Grand Between Brush Street and West Street, Oakland, CA",,,,
88th Ave between Holly St and International Blvd (Elmhurst Library),intersection,"88th Avenue between Holly Street and International Boulevard (Elmhurst Library), Oakland, CA",,,,
High Street Between Bond Street and Foothill,intersection,"High Street Between Bond Street and Foothill, Oakland, CA",,,,
Auseon Ave between International Blvd & Holly St,intersection,"Auseon Avenue between International Boulevard & Holly Street, Oakland, CA",,,,
Lowell St between Arlington Ave & Grace Ave,intersection,"Lowell Street between Arlington Avenue & Grace Avenue, Oakland, CA",,,,
61st St between Bakers St & Lowell St,intersection,"61st Street between Bakers Street & Lowell Street, Oakland, CA",,,,
Lowell St between Grace Ave & Stanford Ave,intersection,"Lowell Street between Grace Avenue & Stanford Avenue, Oakland, CA",,,,
Lowell St between 57th St & Arlinton Ave,intersection,"Lowell Street between 57th Street & Arlinton Avenue, Oakland, CA",,,,
Lowell St between Aileen St & 57th St,intersection,"Lowell Street between Aileen Street & 57th Street, Oakland, CA",,,,
Stanford Ave between Los Angeles and Lowell St,intersection,"Stanford Avenue between Los Angeles and Lowell Street, Oakland, CA",,,,
Stanford Ave between Lowell St and Market St,intersection,"Stanford Avenue between Lowell Street and Market Street, Oakland, CA",,,,
Grace Ave between Lowell St and Los Angeles St,intersection,"Grace Avenue between Lowell Street and Los Angeles Street, Oakland, CA",,,,
Arlington Ave between Grace Lowell St and Los Angeles St,intersection,"Arlington Avenue between Grace Lowell Street and Los Angeles Street, Oakland, CA",,,,
89th Ave between International Blvd & Holly St,intersection,"89th Avenue between International Boulevard & Holly Street, Oakland, CA",,,,
International Blvd between 90th Ave and 91st Ave,intersection,"International Boulevard between 90th Avenue and 91st Avenue, Oakland, CA",,,,
84th Ave between International Blvd & A St,intersection,"84th Avenue between International Boulevard & A Street, Oakland, CA",,,,
81st Ave between International Blvd & Holly St,intersection,"81st Avenue between International Boulevard & Holly Street, Oakland, CA",,,,
International Blvd between 89th Ave and 90th Ave,intersection,"International Boulevard between 89th Avenue and 90th Avenue, Oakland, CA",,,,
International Blvd between 88th Ave and 89th Ave,intersection,"International Boulevard between 88th Avenue and 89th Avenue, Oakland, CA",,,,
International Blvd between 87th Ave and 88th Ave,intersection,"International Boulevard between 87th Avenue and 88th Avenue, Oakland, CA",,,,
International Blvd between 86th Ave and 87th Ave,intersection,"International Boulevard between 86th Avenue and 87th Avenue, Oakland, CA",,,,
91st Ave between International Blvd & A St,intersection,"91st Avenue between International Boulevard & A Street, Oakland, CA",,,,
90th Ave between International Blvd & A St,intersection,"90th Avenue between International Boulevard & A Street, Oakland, CA",,,,
W MacArthur Blvd between Dover St & MLK,intersection,"West MacArthur Boulevard between Dover Street & Martin Luther King Jr Boulevard, Oakland, CA",,,,
57th Ave between Bancroft and Laverne Ave,intersection,"57th Avenue between Bancroft and Laverne Avenue, Oakland, CA",,,,
Castro St between 9th St & 10th St,intersection,"Castro Street between 9th Street & 10th Street, Oakland, CA",,,,
55th Ave between Foothill Blvd and Laverne Ave,intersection,"55th Avenue between Foothill Boulevard and Laverne Avenue, Oakland, CA",,,,
Trask St between Foothill Blvd and Bancroft Ave,intersection,"Trask Street between Foothill Boulevard and Bancroft Avenue, Oakland, CA",,,,
Foothill blvd between Trask St and 57th Ave,intersection,"Foothill blvd between Trask Street and 57th Avenue, Oakland, CA",,,,
57th Ave between Foothill Blvd and Bancroft Ave,intersection,"57th Avenue between Foothill Boulevard and Bancroft Avenue, Oakland, CA",,,,
Bancroft between Cole St and Trask St,intersection,"Bancroft between Cole Street and Trask Street, Oakland, CA",,,,
33rd St between 34th St and Telegraph Ave,intersection,"33rd Street between 34th Street and Telegraph Avenue, Oakland, CA",,,,
34th St between Andover St & Elm St,intersection,"34th Street between Andover Street & Elm Street, Oakland, CA",,,,
34th St between Elm St & Telegraph Ave,intersection,"34th Street between Elm Street & Telegraph Avenue, Oakland, CA",,,,
34th St between MLK & Telegraph Ave (Overpass),intersection,"34th Street between Martin Luther King Jr Boulevard & Telegraph Avenue (Overpass), Oakland, CA",,,,
6th St between Broadway and Washington St,intersection,"6th Street between Broadway and Washington Street, Oakland, CA",,,,
Castro St between 3rd St and 4th St,intersection,"Castro Street between 3rd Street and 4th Street, Oakland, CA",,,,
Castro St between 4th St and 5th St,intersection,"Castro Street between 4th Street and 5th Street, Oakland, CA",,,,
Castro St between 5th St and 6th St,intersection,"Castro Street between 5th Street and 6th Street, Oakland, CA",,,,
Jefferson St between 2nd St and Embarcadero West,intersection,"Jefferson Street between 2nd Street and Embarcadero West, Oakland, CA",,,,
73rd Ave between Internationaland Orral St,intersection,"73rd Avenue between Internationaland Orral Street, Oakland, CA",,,,
Hamilton St between 69th Ave and 70th Ave,intersection,"Hamilton Street between 69th Avenue and 70th Avenue, Oakland, CA",,,,
Hamilton St between 70th Ave and 71st Ave,intersection,"Hamilton Street between 70th Avenue and 71st Avenue, Oakland, CA",,,,
Hamilton St between 71st Ave and 72nd Ave,intersection,"Hamilton Street between 71st Avenue and 72nd Avenue, Oakland, CA",,,,
Bancroft between Hole St & Trask St,intersection,"Bancroft between Hole Street & Trask Street, Oakland, CA",,,,
San Leandro St between 105th Ave and 106th Ave,intersection,"San Leandro Street between 105th Avenue and 106th Avenue, Oakland, CA",,,,
San Leandro St between 106th Ave and 107th Ave,intersection,"San Leandro Street between 106th Avenue and 107th Avenue, Oakland, CA",,,,
105th Ave between Russet St & San Leandro St,intersection,"105th Avenue between Russet Street & San Leandro Street, Oakland, CA",,,,
E 10th St between 2nd Ave & 4th Ave,intersection,"E 10th Street between 2nd Avenue & 4th Avenue, Oakland, CA",,,,
E 10th St between 4th Ave & 5th Ave,intersection,"E 10th Street between 4th Avenue & 5th Avenue, Oakland, CA",,,,
E 10th St between 5th Ave & 6th Ave,intersection,"E 10th Street between 5th Avenue & 6th Avenue, Oakland, CA",,,,
7th St & E 8th St between Fallon St & 6th Ave,intersection,"7th Street & E 8th Street between Fallon Street & 6th Avenue, Oakland, CA",,,,
21st St between Linden St and Chestnut St,intersection,"21st Street between Linden Street and Chestnut Street, Oakland, CA",,,,
W Grand between Linden St & Adeline St,intersection,"West Grand between Linden Street & Adeline Street, Oakland, CA",,,,
Union St between 21st St & W Grand Ave,intersection,"Union Street between 21st Street & West Grand Avenue, Oakland, CA",,,,
Union St between 19th St & 21st St,intersection,"Union Street between 19th Street & 21st Street, Oakland, CA",,,,
Hamilton St between 72nd Ave and 73rd Ave,intersection,"Hamilton Street between 72nd Avenue and 73rd Avenue, Oakland, CA",,,,
19th St between Union St and Adeline St,intersection,"19th Street between Union Street and Adeline Street, Oakland, CA",,,,
Poplar St between 20th St and 21st St,intersection,"Poplar Street between 20th Street and 21st Street, Oakland, CA",,,,
Poplar St between 18th St and 20th St,intersection,"Poplar Street between 18th Street and 20th Street, Oakland, CA",,,,
Adeline St between 21st St & W Grand Ave,intersection,"Adeline Street between 21st Street & West Grand Avenue, Oakland, CA",,,,
Adeline St between 18th St & 19th St,intersection,"Adeline Street between 18th Street & 19th Street, Oakland, CA",,,,
18th St between Mandela Pkwy & Poplar St,intersection,"18th Street between Mandela Parkway & Poplar Street, Oakland, CA",,,,
18th St between Poplar St and Adeline St,intersection,"18th Street between Poplar Street and Adeline Street, Oakland, CA",,,,
Linden St between 21St & W Grand Ave,intersection,"Linden Street between 21St & West Grand Avenue, Oakland, CA",,,,
Railroad Ave between Louisiana St and 85th Ave,intersection,"Railroad Avenue between Louisiana Street and 85th Avenue, Oakland, CA",,,,
Poplar St between 21st St and W Grand Ave,intersection,"Poplar Street between 21st Street and West Grand Avenue, Oakland, CA",,,,
Hamilton St between 73rd Ave and Hegenberger Rd,intersection,"Hamilton Street between 73rd Avenue and Hegenberger Road, Oakland, CA",,,,
Peralta St between 3rd St and 7th St,intersection,"Peralta Street between 3rd Street and 7th Street, Oakland, CA",,,,
E 8th St between Fruitvale Ave and 34th Ave,intersection,"E 8th Street between Fruitvale Avenue and 34th Avenue, Oakland, CA",,,,
Grand Ave between Bellevue Ave & Euclid Ave,intersection,"Grand Avenue between Bellevue Avenue & Euclid Avenue, Oakland, CA",,,,
MLK Way between 4th St & 5th St,intersection,"Martin Luther King Jr Boulevard Way between 4th Street & 5th Street, Oakland, CA",,,,
MLK Way between 3rd St & 4th St,intersection,"Martin Luther King Jr Boulevard Way between 3rd Street & 4th Street, Oakland, CA",,,,
MLK Way between 2nd St & 3rd St,intersection,"Martin Luther King Jr Boulevard Way between 2nd Street & 3rd Street, Oakland, CA",,,,
4th St between Clay St & Washington st,intersection,"4th Street between Clay Street & Washington st, Oakland, CA",,,,
4th St between Jefferson St & Clay St,intersection,"4th Street between Jefferson Street & Clay Street, Oakland, CA",,,,
4th St between MLK & Jefferson St,intersection,"4th Street between Martin Luther King Jr Boulevard & Jefferson Street, Oakland, CA",,,,
Thomas L Berkley Way between Castro St and MLK,intersection,"Thomas L Berkley Way between Castro Street and Martin Luther King Jr Boulevard, Oakland, CA",,,,
Bellevue Ave between Grand Ave & Staten Ave,intersection,"Bellevue Avenue between Grand Avenue & Staten Avenue, Oakland, CA",,,,
Castro St between 20th St & San Pablo Ave,intersection,"Castro Street between 20th Street & San Pablo Avenue, Oakland, CA",,,,
Castro St between 18th St & 19th St,intersection,"Castro Street between 18th Street & 19th Street, Oakland, CA",,,,
Castro St between 17th St & 18th St,intersection,"Castro Street between 17th Street & 18th Street, Oakland, CA",,,,
Castro St between 10th St & 11th St,intersection,"Castro Street between 10th Street & 11th Street, Oakland, CA",,,,
6th Ave between International Blvd and E 12th St,intersection,"6th Avenue between International Boulevard and E 12th Street, Oakland, CA",,,,
Castro St between 8th St & 9th St,intersection,"Castro Street between 8th Street & 9th Street, Oakland, CA",,,,
Castro St between 7th St & 8th St,intersection,"Castro Street between 7th Street & 8th Street, Oakland, CA",,,,
Castro St between 6th and 7th St,intersection,"Castro Street between 6th and 7th Street, Oakland, CA",,,,
Laverne Ave between 55th Ave and Foothill Blvd,intersection,"Laverne Avenue between 55th Avenue and Foothill Boulevard, Oakland, CA",,,,
Castro St between 19th St & 20th St,intersection,"Castro Street between 19th Street & 20th Street, Oakland, CA",,,,
Foothill Blvd between 55th Ave and 57th Ave,intersection,"Foothill Boulevard between 55th Avenue and 57th Avenue, Oakland, CA",,,,
Mandela Pkwy between 10th St and 11th St,intersection,"Mandela Parkway between 10th Street and 11th Street, Oakland, CA",,,,
Mandela Pkwy between 8th St and Dr Huey P. Newton Wy,intersection,"Mandela Parkway between 8th Street and Drive Huey P. Newton Wy, Oakland, CA",,,,
E 8th St between 34th Ave and 36th Ave,intersection,"E 8th Street between 34th Avenue and 36th Avenue, Oakland, CA",,,,
E 8th St between 36th Ave and 37th Ave,intersection,"E 8th Street between 36th Avenue and 37th Avenue, Oakland, CA",,,,
Alameda Avenue between E 8th St and Howard St,intersection,"Alameda Avenue between E 8th Street and Howard Street, Oakland, CA",,,,
Alameda Avenue between Oakport St and  E 8th St,intersection,"Alameda Avenue between Oakport Street and E 8th Street, Oakland, CA",,,,
E 9th St between Fruitvale Ave and 33rd Ave,intersection,"E 9th Street between Fruitvale Avenue and 33rd Avenue, Oakland, CA",,,,
E 9th St between 34th Ave and 35th Ave,intersection,"E 9th Street between 34th Avenue and 35th Avenue, Oakland, CA",,,,
E 9th St between 33rd Ave and 34th Ave,intersection,"E 9th Street between 33rd Avenue and 34th Avenue, Oakland, CA",,,,
E 9th St between 35th Ave and 36th Ave,intersection,"E 9th Street between 35th Avenue and 36th Avenue, Oakland, CA",,,,
Mandela Pkwy between Dr Huey P. Newton Wy and 10th St,intersection,"Mandela Parkway between Drive Huey P. Newton Wy and 10th Street, Oakland, CA",,,,
E 9th St between 36th Ave and 37th Ave,intersection,"E 9th Street between 36th Avenue and 37th Avenue, Oakland, CA",,,,
16th St between Poplar St and Union St,intersection,"16th Street between Poplar Street and Union Street, Oakland, CA",,,,
16th St between Union St and Magnolia St,intersection,"16th Street between Union Street and Magnolia Street, Oakland, CA",,,,
16th St between Magnolia St & Adeline St,intersection,"16th Street between Magnolia Street & Adeline Street, Oakland, CA",,,,
Adeline St between 16th St and 18th St,intersection,"Adeline Street between 16th Street and 18th Street, Oakland, CA",,,,
Poplar St between W Grand Ave and 24th St,intersection,"Poplar Street between West Grand Avenue and 24th Street, Oakland, CA",,,,
Poplar St between 24th St and 26th St,intersection,"Poplar Street between 24th Street and 26th Street, Oakland, CA",,,,
Poplar St between 26th St and 28th St,intersection,"Poplar Street between 26th Street and 28th Street, Oakland, CA",,,,
Poplar St between 28th St and 30th St,intersection,"Poplar Street between 28th Street and 30th Street, Oakland, CA",,,,
Mandela Pkwy between 11th St and 12th St,intersection,"Mandela Parkway between 11th Street and 12th Street, Oakland, CA",,,,
Lowell St between Stanford Ave and 61st Pl,intersection,"Lowell Street between Stanford Avenue and 61st Place, Oakland, CA",,,,
26th St between Wood Stand Mandela Pkwy,intersection,"26th Street between Wood Stand Mandela Parkway, Oakland, CA",,,,
San Leandro St between 37th Ave and 38th Ave,intersection,"San Leandro Street between 37th Avenue and 38th Avenue, Oakland, CA",,,,
Walter Ave between Clara St and S Elmhurst Ave,intersection,"Walter Avenue between Clara Street and South Elmhurst Avenue, Oakland, CA",,,,
64th Ave between Brann St and Camden St,intersection,"64th Avenue between Brann Street and Camden Street, Oakland, CA",,,,
96th Ave between A St and International Blvd,intersection,"96th Avenue between A Street and International Boulevard, Oakland, CA",,,,
MLK between Ninth St and 10th St,intersection,"Martin Luther King Jr Boulevard between Ninth Street and 10th Street, Oakland, CA",,,,
Alameda Avenue between High St and E 8th St,intersection,"Alameda Avenue between High Street and E 8th Street, Oakland, CA",,,,
Ruby St between 38th St ad W MacArthur Blvd,intersection,"Ruby Street between 38th Street ad West MacArthur Boulevard, Oakland, CA",,,,
Dover street between 46th St. and 47th St.,intersection,"Dover street between 46th Street. and 47th Street, Oakland, CA",,,,
33rd street between Market and West,intersection,"33rd street between Market and West, Oakland, CA",,,,
42nd Avenue between E. 12th Street & International Blvd,intersection,"42nd Avenue between East 12th Street & International Boulevard, Oakland, CA",,,,
29th Avenue between E. 7th and Chapman,intersection,"29th Avenue between East 7th and Chapman, Oakland, CA",,,,
6th Street between Harrison St and Alice St,intersection,"6th Street between Harrison Street and Alice Street, Oakland, CA",,,,
Median at Mandela Parkway and 28th Street,intersection,"Median at Mandela Parkway and 28th Street, Oakland, CA",,,,
International Blvd between 6th Ave and 7th Ave,intersection,"International Boulevard between 6th Avenue and 7th Avenue, Oakland, CA",,,,
E 12th St between 6th Ave and 7th Ave,intersection,"E 12th Street between 6th Avenue and 7th Avenue, Oakland, CA",,,,
7th Ave between E 12th St and International Blvd,intersection,"7th Avenue between E 12th Street and International Boulevard, Oakland, CA",,,,
Harrison St between Stanley Pl and Pearl St,intersection,"Harrison Street between Stanley Place and Pearl Street, Oakland, CA",,,,
10th Street between Jefferson St and MLK,intersection,"10th Street between Jefferson Street and Martin Luther King Jr Boulevard, Oakland, CA",,,,
Walter Ave between S Elmhurst Ave and Tyler St,intersection,"Walter Avenue between South Elmhurst Avenue and Tyler Street, Oakland, CA",,,,
Walter Ave between Louisiana St and Clara St,intersection,"Walter Avenue between Louisiana Street and Clara Street, Oakland, CA",,,,
High St between Wattling St and San Leandro St,intersection,"High Street between Wattling Street and San Leandro Street, Oakland, CA",,,,
Pearmain St between 100th Ave and Douglas Ave,intersection,"Pearmain Street between 100th Avenue and Douglas Avenue, Oakland, CA",,,,
International Blvd between 96th Ave and 97th Ave,intersection,"International Boulevard between 96th Avenue and 97th Avenue, Oakland, CA",,,,
E 12th St between Derby Ave and 29th Ave,intersection,"E 12th Street between Derby Avenue and 29th Avenue, Oakland, CA",,,,
89th and International,intersection,"89th and International Boulevard, Oakland, CA",,,,
E 19th St and 29th Ave,intersection,"E 19th Street and 29th Avenue, Oakland, CA",,,,
29th Ave between E 9th St and E 10th St,intersection,"29th Avenue between E 9th Street and E 10th Street, Oakland, CA",,,,
Pine St between Chase St and 9th St,intersection,"Pine Street between Chase Street and 9th Street, Oakland, CA",,,,
MLK between 34th St and 35th St,intersection,"Martin Luther King Jr Boulevard between 34th Street and 35th Street, Oakland, CA",,,,
Clay St between 8th St and Ninth St,intersection,"Clay Street between 8th Street and Ninth Street, Oakland, CA",,,,
27th St. between Northgate south/north on the Northside of the street,intersection,"27th Street. between Northgate south, Oakland, CA",,,,
Union St between W Grand Ave and 24th St,intersection,"Union Street between West Grand Avenue and 24th Street, Oakland, CA",,,,
Median at 660 Thomas L Berkley Way/20th and MLK,intersection,"Median at 660 Thomas L Berkley Way, Oakland, CA",,,,
Market St between 30th St and 31st St,intersection,"Market Street between 30th Street and 31st Street, Oakland, CA",,,,
30th St between Market St and San Pablo St,intersection,"30th Street between Market Street and San Pablo Street, Oakland, CA",,,,
24th St between Willow St and Wood St,intersection,"24th Street between Willow Street and Wood Street, Oakland, CA",,,,
E 12th St between High St and 44th Ave,intersection,"E 12th Street between High Street and 44th Avenue, Oakland, CA",,,,
E 12th St between 44th Ave and 45th Ave,intersection,"E 12th Street between 44th Avenue and 45th Avenue, Oakland, CA",,,,
E 12th St between High St and E 12th Place,intersection,"E 12th Street between High Street and E 12th Place, Oakland, CA",,,,
Wood St between 20th St and W Grand Ave,intersection,"Wood Street between 20th Street and West Grand Avenue, Oakland, CA",,,,
San Pablo Ave between MLK & Thomas L Berkley Way,intersection,"San Pablo Avenue between Martin Luther King Jr Boulevard & Thomas L Berkley Way, Oakland, CA",,,,
Pine St between 8th St and Chase St,intersection,"Pine Street between 8th Street and Chase Street, Oakland, CA",,,,
35th St between Magnolia and Adeline St,intersection,"35th Street between Magnolia and Adeline Street, Oakland, CA",,,,
Santa Clara between Harrison St and Kepmton Way,intersection,"Santa Clara between Harrison Street and Kepmton Way, Oakland, CA",,,,
64th Ave between Camden St and MacArthur Blvd,intersection,"64th Avenue between Camden Street and MacArthur Boulevard, Oakland, CA",,,,
MacArthur Blvd between 64th Ave and 64th Ave Pl,intersection,"MacArthur Boulevard between 64th Avenue and 64th Avenue Place, Oakland, CA",,,,
Camden St between 63rd St and 64th St,intersection,"Camden Street between 63rd Street and 64th Street, Oakland, CA",,,,
62nd Ave between Brann St and Camden St,intersection,"62nd Avenue between Brann Street and Camden Street, Oakland, CA",,,,
W Macarthur Blvd between Ruby and Webster St,intersection,"West Macarthur Boulevard between Ruby and Webster Street, Oakland, CA",,,,
Moorpark St between Pippin St and Russet St,intersection,"Moorpark Street between Pippin Street and Russet Street, Oakland, CA",,,,
Russet St and Moorpark St (Dead End),intersection,"Russet Street and Moorpark Street (Dead End), Oakland, CA",,,,
Russet St between 105th Ave and 107th Ave,intersection,"Russet Street between 105th Avenue and 107th Avenue, Oakland, CA",,,,
Russet St between 107th and Moorpark St,intersection,"Russet Street between 107th and Moorpark Street, Oakland, CA",,,,
Foothill Blvd between 15th Ave and 16th Ave,intersection,"Foothill Boulevard between 15th Avenue and 16th Avenue, Oakland, CA",,,,
16th Ave between Foothill Blvd and E 15th St,intersection,"16th Avenue between Foothill Boulevard and E 15th Street, Oakland, CA",,,,
15th Ave between Foothill Blvd and Gleason Way,intersection,"15th Avenue between Foothill Boulevard and Gleason Way, Oakland, CA",,,,
15th Ave between Gleason Way and E 15th St,intersection,"15th Avenue between Gleason Way and E 15th Street, Oakland, CA",,,,
E 15th St between 15th Ave and 16th Ave,intersection,"E 15th Street between 15th Avenue and 16th Avenue, Oakland, CA",,,,
